	logFC	logCPM	F	PValue	FDR
AT2G30750	-6.10479603359999	-6.10831649292036	6.24343405975041	0	0
AT1G26390	-5.44291461768107	-5.44792113377365	5.06938714732337	0	0
AT1G02920	-3.96541644865184	-3.96560451055797	8.33399768460858	0	0
AT1G02930	-3.70149283975656	-3.70168974025957	8.00006109118582	0	0
AT2G38870	-2.99627438254093	-2.99659655856916	6.56551931789235	0	0
AT5G64120	-2.67446807894458	-2.67458253145632	7.72879585692683	0	0
AT4G11650	-2.41229608441167	-2.41240040508603	7.58434206594819	0	0
AT4G12490	-6.97254433483729	-6.99732924366315	4.30092628988693	3.39756324328124e-264	8.35078575657987e-261
AT1G26240	-6.73902178132671	-6.76270464271317	4.13200790032839	5.92738142597708e-240	1.29500112198875e-236
AT4G37370	-4.14037508024299	-4.14273943948818	4.84513489135376	5.3331236185941e-238	1.04865209712416e-234
AT1G02520	-4.27114653092935	-4.27385369851001	4.78190909330423	1.18111215561032e-237	2.11129166506962e-234
AT1G14870	-2.17848448708723	-2.17860642815293	7.1042478837826	2.89375645467959e-237	4.74166109736373e-234
AT3G02480	-6.03675868784183	-6.05068994331605	4.19135804280129	1.09147303921844e-234	1.65089495155017e-231
AT1G17180	-3.48420027543652	-3.48534462921296	5.23098842710765	2.29150824033914e-234	3.21842332355633e-231
AT3G01420	-1.81733611544749	-1.8173707200495	8.51558554350594	6.18819968387612e-234	8.11190469227041e-231
AT3G13610	-2.59674479106159	-2.59707200737713	6.12582519842459	5.97430483775807e-222	7.34204725155231e-219
AT1G26380	-4.4993815724937	-4.50324414092797	4.49810210190382	3.26523996388254e-218	3.77673020057779e-215
AT3G44300	-3.09916378469545	-3.09993963838859	5.39968396077345	4.81079121619125e-213	5.25525487133159e-210
AT5G42830	-4.14337876537909	-4.14621848156671	4.5842755885063	1.98006517767747e-208	2.04915903098275e-205
AT4G12480	-2.50879640377574	-2.50912848636936	6.01152533222026	3.36209736078186e-194	3.30544602025269e-191
AT4G31970	-10.2470088133204	-10.7158104236382	3.55097142076437	1.46922291066673e-193	1.37568238535428e-190
AT1G13520	-4.48880318762906	-4.49328520079579	4.27307529307123	3.93473167012808e-193	3.51675585589675e-190
AT4G12500	-5.36875518185246	-5.37912117105596	3.94764335070663	1.36085973814431e-191	1.16341674048398e-188
AT2G16060	-2.56994158147628	-2.57032160389263	5.88129126610826	2.53263009830672e-191	2.07496273429187e-188
AT2G26560	-3.01488791674891	-3.01570007677552	5.24674729172419	1.97376430056689e-186	1.55240509768187e-183
AT2G43510	-3.13235506260415	-3.13332930864022	5.10526137029086	2.38833061649087e-184	1.80622095815615e-181
AT2G29350	-6.36881403871146	-6.39466134962756	3.63865543664311	1.42547961044693e-179	1.03811872519326e-176
AT1G17170	-2.87657339440743	-2.87726727921173	5.33129713703861	3.43891262280771e-179	2.41497638936672e-176
AT1G30700	-3.34279983826579	-3.34416461413212	4.83219201991019	1.70616078447505e-175	1.15683584500458e-172
AT3G46280	-2.72991030834141	-2.73047815650679	5.46878220298328	2.15455783230763e-174	1.41216902188883e-171
AT2G43570	-3.7200926521008	-3.72234784153623	4.49049478846193	1.37270452993801e-172	8.7069319910229e-170
AT5G52300	-3.56508841945879	-3.56708526889987	4.50917124621195	5.8548800851602e-164	3.59764084732828e-161
AT2G15220	-3.11025738522218	-3.11138126256644	4.87577441649783	7.21989588985341e-160	4.30196402673296e-157
AT3G18250	-4.6737411650447	-4.6808260368794	3.80032751174293	7.57939038634799e-157	4.38333979902237e-154
AT2G38860	-2.21855621053554	-2.21880492216928	6.11656624606806	4.89877312851901e-152	2.75213074360198e-149
AT4G37030	-4.24127716761497	-4.24608633797161	3.92394093222633	2.41927381214072e-151	1.32139391578119e-148
AT2G41730	-3.987785532956	-3.99146491461437	4.0551388979604	1.30629617372134e-150	6.9420815307791e-148
AT1G76930	-1.57640988681772	-1.57643236739485	8.84654303965268	1.76701439433913e-149	9.14336948312903e-147
AT2G44790	-2.37462291621789	-2.37499546676608	5.70162160776914	1.65947215715803e-144	8.36671821184575e-142
AT1G14540	-4.5740703079239	-4.58153151138709	3.62665668324476	1.68287184221417e-138	8.27257725836429e-136
AT5G39580	-3.69887086958663	-3.70184287779675	4.07185700512905	7.51595266381432e-137	3.60454090801417e-134
AT1G52690	-4.76643618828286	-4.77561435769367	3.52242957396481	1.90557879772948e-135	8.92128473803687e-133
AT4G14630	-3.08235561715196	-3.08368732372898	4.60264650905938	8.12413018041432e-135	3.71499469156946e-132
AT1G60730	-2.26508078182685	-2.26540403733002	5.78823972412216	3.8387606478743e-134	1.71548978679892e-131
AT2G47000	-2.05459879399541	-2.05480163196082	6.22955163865347	1.51185659755333e-129	6.60614139504248e-127
AT1G05680	-3.09081468502722	-3.0923922335031	4.36612287126781	4.46820893171459e-119	1.90996504835443e-116
AT5G38900	-4.07028503633058	-4.07594128333364	3.52053215718537	3.96115743775142e-113	1.65719656805332e-110
AT3G03270	-1.95918316268062	-1.95936329516271	6.29303521261987	2.20843488423951e-111	9.04676148516696e-109
AT2G39200	-3.24339149635055	-3.24570678377963	3.97070125873445	9.48520392432078e-105	3.80627683191673e-102
AT1G32350	-5.33068016676778	-5.3513249392781	2.92761006582087	6.63936112002735e-103	2.61099515406196e-100
AT1G53625	-3.85632758091381	-3.86137883710486	3.46910737271549	1.00029799032936e-101	3.85663909487179e-99
ATCG00020	1.64916892977184	1.64924277643949	7.23103496098596	1.27156979060953e-98	4.80824553706829e-96
AT3G16150	-3.40154350749522	-3.40461977722519	3.72346987739221	5.32901356687996e-98	1.97706403331247e-95
AT1G58320	-3.57844869457957	-3.58244318304162	3.52660991088941	2.32868462916409e-94	8.47943071541732e-92
AT1G66700	-4.03003957387496	-4.0367830033663	3.22874211334467	3.0881127567494e-92	1.10402838429025e-89
