	logFC	logCPM	F	PValue	FDR
AT5G22530	10.0307681774482	10.1363159341219	5.59326930126172	8.92432942538558e-12	1.29559000435333e-07
AT3G25780	6.45883574919178	6.46186533237414	7.10553362641241	2.55664361205984e-11	1.29559000435333e-07
AT1G59865	7.1868917353774	7.20781217418999	5.03335407347221	3.01507102223992e-11	1.29559000435333e-07
AT1G35210	6.74765723148803	6.75967512337876	5.39469127589428	3.74679740881511e-11	1.29559000435333e-07
AT1G05675	8.50299681340601	8.51852430031579	6.79637441728202	4.13367802493122e-11	1.29559000435333e-07
ATCG00520	5.7621482958103	5.76990477330814	5.03558752755296	4.20851730445789e-11	1.29559000435333e-07
AT4G23190	5.14666616571401	5.14867062166119	6.38114648786907	4.85692133324572e-11	1.29559000435333e-07
AT1G80840	8.35080985469112	8.35859037936431	7.64033453638592	5.43451174514574e-11	1.29559000435333e-07
AT1G56240	8.34875882457511	8.40238428976543	4.85343532674022	6.10946712051913e-11	1.29559000435333e-07
AT2G44080	5.62124189064071	5.6262669842658	5.52569138193795	6.74786460600694e-11	1.29559000435333e-07
AT5G24640	8.82545444365135	8.90523361355673	4.76721719025665	9.20795907913833e-11	1.5809839690256e-07
AT1G17380	4.20997552532051	4.2115237300278	5.81074461211172	1.04216594671196e-10	1.5809839690256e-07
AT2G44070	9.08017520832146	9.2356054160633	4.08302485416286	1.1086039123168e-10	1.5809839690256e-07
AT3G23250	8.16293740971599	8.18102805425163	6.23233527527882	1.26273458896287e-10	1.5809839690256e-07
AT4G17500	6.71513990506566	6.72139461702079	6.30916569856102	1.33498531531848e-10	1.5809839690256e-07
ATCG01110	5.83814228133541	5.85242981574249	4.21905167780955	1.34257583477542e-10	1.5809839690256e-07
AT5G37500	4.19007521786265	4.192223785705	5.31464829618073	1.54400265966799e-10	1.5809839690256e-07
AT3G21780	6.8881688057613	6.90361039772692	5.17476877795091	1.69822244799722e-10	1.5809839690256e-07
AT1G30755	4.29003940710062	4.2913896702556	6.09137391567558	1.89035954014088e-10	1.5809839690256e-07
AT1G72520	4.18910095530551	4.19017283005465	6.32410807345278	2.03271893057793e-10	1.5809839690256e-07
AT5G54490	5.8721795748838	5.88138919870804	4.89385584446487	2.17212373294896e-10	1.5809839690256e-07
AT5G56960	10.1014287751621	10.3053350324575	4.75048122313027	2.23947795321565e-10	1.5809839690256e-07
ATCG01050	5.3244358971646	5.32716068214759	6.11659207167346	2.25128298119605e-10	1.5809839690256e-07
AT2G04040	9.29036626162365	9.32451738007719	6.45257926861734	2.26833896336173e-10	1.5809839690256e-07
AT5G37490	8.82443298842333	8.92985511637858	4.36917239518994	2.35750622822702e-10	1.5809839690256e-07
AT1G42990	3.86037370812706	3.86087999006115	7.07847636708557	2.35830767987414e-10	1.5809839690256e-07
AT1G73066	6.28612767417949	6.30311139570849	4.42354023249463	2.36143896590267e-10	1.5809839690256e-07
AT5G43450	5.01212182714909	5.01263818558778	8.21036359391343	2.3695099026819e-10	1.5809839690256e-07
AT1G78410	8.0176786147441	8.05805525577652	4.92425871477761	2.38794453654909e-10	1.5809839690256e-07
AT4G37290	8.30608380675226	8.39682447701544	4.05245890708229	2.6043871516042e-10	1.66680777702669e-07
ATCG01060	5.50285028636084	5.50868434433142	5.188591877161	2.76405054589545e-10	1.69078367738402e-07
