	logFC	logCPM	F	PValue	FDR
AT1G02920	-3.1374632826955	-3.13783590119432	6.47436915242306	8.44995033604467e-93	1.68973656869885e-88
AT5G64120	-2.38514254822576	-2.38525547682069	7.4210916532734	2.67130404543667e-91	2.67090334982986e-87
AT1G02930	-3.16459947852671	-3.16505737069491	6.20211163018405	4.38947112267614e-89	2.92587513467183e-85
AT5G03545	1.78861548115051	1.78864647588877	8.64407790548977	1.02996896728822e-81	5.14907235971561e-78
AT2G30750	-6.56753621443158	-6.58984428963173	4.00456935711873	7.01771872621708e-74	2.80666642736326e-70
AT4G12490	-8.28450775378936	-8.3935240931112	3.47643250300043	2.48732226278264e-66	8.28983054814406e-63
AT2G43535	1.78842256790953	1.78849195749281	7.48773370654025	4.64423956960835e-64	1.32672655247797e-60
AT1G26380	-5.67185465718881	-5.68863198535065	3.51895997983716	8.95457715393066e-63	2.23830849183939e-59
AT2G18050	1.98064826328763	1.98078841790523	6.70382867409461	1.58399272908996e-61	3.51945584484577e-58
AT2G28190	-1.8071438865781	-1.80724986475927	6.86541228338458	1.74334017065747e-56	3.48615733926375e-53
AT1G73010	1.91961195509927	1.91976350318269	6.52227646087131	2.97371266744811e-55	5.40593929190544e-52
AT1G73220	2.86860789694019	2.86968426559104	4.7447259897919	6.55866409430615e-55	1.092946715782e-51
AT2G43620	-4.42339891676242	-4.43170661267249	3.2828267651096	1.23560921443301e-51	1.90065211238591e-48
AT1G26390	-9.25629705596243	-9.73457725909915	2.50008027634823	1.36385560741262e-50	1.94807289867358e-47
AT5G39580	-2.88608934639758	-2.88754182965511	4.24169900959314	2.66791807967427e-49	3.55669052261643e-46
AT1G26410	-6.2084125633965	-6.25436823754544	2.62198829535492	9.23364926891118e-49	1.15403302769011e-45
AT1G51470	5.01548808327324	5.03381956371861	2.86750835935539	1.40960324217146e-45	1.65810800198251e-42
AT4G12500	-2.90311916817404	-2.90490742541697	3.95914324429828	3.88932416079222e-45	4.32082306907567e-42
AT1G14540	-3.70208985868344	-3.70722181811631	3.25312092747618	1.06996814552566e-44	1.12611331610929e-41
AT1G73330	1.34242984942162	1.34244728225355	8.90756764476077	1.49910034722871e-44	1.49887548217662e-41
AT1G47600	4.67596787593085	4.69042132690574	2.86623874118216	6.95778688171017e-44	6.6254697273123e-41
AT2G38870	-1.91650849653429	-1.91677324550079	5.66372347445652	9.34521532655583e-43	8.4943759493244e-40
AT2G43570	-3.08070254166067	-3.0832821379105	3.61389692405998	1.87691549631767e-42	1.63185561651585e-39
AT5G57220	-2.81356713270897	-2.8153840899809	3.84524426661443	2.42646449647449e-41	2.02175043900002e-38
AT1G35720	1.36781634574508	1.36784605104874	8.17647151469193	4.66227173086175e-39	3.7292579120817e-36
AT4G22517	1.9074732453976	1.90777996888738	5.49948756531247	2.17686672959118e-38	1.64650218847445e-35
AT2G29350	-6.25589454147554	-6.33383558210308	1.93397440332138	2.22311142115368e-38	1.64650218847445e-35
AT2G05510	1.43741257902965	1.43746541489238	7.44271253359702	2.09115686814224e-37	1.49345942472287e-34
AT3G18250	-3.49899279104248	-3.50521777705804	2.7741049564548	7.38653557475716e-36	5.09339834097996e-33
AT5G44575	-3.25217849658263	-3.25663142608543	3.00473302479166	1.18742920354348e-35	7.91500726108629e-33
AT4G36880	3.4348080829196	3.44041705821385	2.96787168028653	6.63890048744896e-35	4.28251913056506e-32
AT2G17740	-6.22247260924975	-6.31297719720886	1.69748572791155	6.30893033686651e-34	3.94248999832249e-31
AT3G46280	-2.05732151557177	-2.05793965081216	4.59570473905064	7.04524765780354e-34	4.26920658827568e-31
AT1G66700	-3.0229946307987	-3.02659971584012	3.07460099179544	9.22001137985658e-34	5.42272257538212e-31
AT1G26240	-5.25887943386999	-5.300817557364	1.81749395488525	1.00181030772971e-33	5.72377163533457e-31
AT1G17710	1.62316229672825	1.62332072339409	6.1056705689482	2.49301855602627e-33	1.38480255735715e-30
AT1G52070	2.04504565654285	2.0456392291873	4.71158758017952	2.71943737919492e-33	1.46974565599353e-30
