	logFC	logCPM	F	PValue	FDR
AT1G21400	3.58685741939402	3.58743306121609	6.52064346991923	1.70644502949916e-09	3.23883266598941e-05
AT3G28740	7.53140597238777	7.55380634357801	5.20877318899904	3.8933835968048e-09	3.69482103336776e-05
AT1G08630	6.21421219775838	6.22536888986589	4.88962478012733	1.58553846234718e-08	5.63135239766612e-05
AT1G79710	4.76581169173364	4.76877393463199	5.34734680940077	1.77552206017012e-08	5.63135239766612e-05
AT4G01870	6.96879117340647	6.96954012078784	9.53106259345573	2.17505005048961e-08	5.63135239766612e-05
AT5G16960	6.73978760211221	6.75511640740726	4.96290673625481	2.82298091137717e-08	5.63135239766612e-05
AT1G76600	7.30859165111065	7.31098789803527	8.19424471476684	3.16866422118201e-08	5.63135239766612e-05
AT1G79410	3.67912684151019	3.68018761614867	5.73397216620479	3.23101193653398e-08	5.63135239766612e-05
AT4G12320	-3.0688094283093	-3.06931920068667	6.1679394042853	3.27194350749743e-08	5.63135239766612e-05
AT3G47340	8.58390765742521	8.58775782689068	8.78654837911761	3.54405031045572e-08	5.63135239766612e-05
AT5G63160	3.53910453654094	3.53950816451855	6.98354391048925	3.62596681241954e-08	5.63135239766612e-05
AT1G76680	4.29664650518673	4.29671197174605	10.3716021115288	3.64621421969259e-08	5.63135239766612e-05
AT2G15480	6.68646013937054	6.68845485827891	7.83793069191234	3.85709068333296e-08	5.63135239766612e-05
AT5G63790	5.23189550769492	5.23219057852284	9.13759059196936	5.37672564125574e-08	6.35519325066092e-05
AT5G14730	5.36334207022222	5.36864276349121	5.11027508223322	5.39075965693627e-08	6.35519325066092e-05
AT5G16970	3.56618968195564	3.56636639601061	8.20209261071362	5.53009477521555e-08	6.35519325066092e-05
AT1G21680	3.7294774597248	3.7297359589318	7.81916746013113	5.69221734779956e-08	6.35519325066092e-05
AT4G34135	5.27153679896671	5.27243400307442	7.57386861174799	6.37118241779763e-08	6.71805790498883e-05
AT2G29420	4.02181455216302	4.02243544267661	6.85093028959329	7.09623519189035e-08	6.97890118002385e-05
AT5G61600	5.56922436049492	5.57103418508868	6.85935206419418	7.35395277136338e-08	6.97890118002385e-05
AT4G24160	4.43445738378522	4.43484636908782	7.93983687828551	8.0333059791935e-08	7.09734959586808e-05
AT1G02610	3.3168071417955	3.31934760441938	4.11039482996155	8.38741060355361e-08	7.09734959586808e-05
AT5G14470	8.72492334508081	8.76614829601635	5.52895940270794	8.83144673511529e-08	7.09734959586808e-05
AT5G05410	6.12810376353583	6.13380888423798	5.76562613053905	9.11579641138836e-08	7.09734959586808e-05
AT3G20340	9.28249775735568	9.32713693015347	5.97346356379422	9.34845837179673e-08	7.09734959586808e-05
AT1G63720	3.50247230060885	3.5053828267966	4.10171382875598	9.73001353759653e-08	7.10290988244547e-05
AT1G64390	-3.65454810041059	-3.65530985456446	6.18581296412297	1.03697369069746e-07	7.24380940576407e-05
AT1G01720	3.32500171153331	3.32533092979459	7.06010793099917	1.09779676330481e-07	7.24380940576407e-05
AT5G16980	4.69597173652159	4.70547683132336	3.60334027221781	1.12398667126724e-07	7.24380940576407e-05
AT1G03090	4.08639207098323	4.08685369104713	7.3431881069042	1.17204179729822e-07	7.24380940576407e-05
AT2G40000	5.69830211842435	5.69858151104699	9.68283422791453	1.18313009261689e-07	7.24380940576407e-05
AT3G17640	-2.96747349425488	-2.96996083938805	3.78723351644049	1.28873383458092e-07	7.64380255635806e-05
AT2G27840	-2.65670235360335	-2.65777504084856	4.67052570624559	1.42124783589248e-07	7.96086450829168e-05
AT1G50745	5.79950751779805	5.81218065741037	4.29725914405623	1.43264945451633e-07	7.96086450829168e-05
AT5G62020	2.51363915922153	2.51495193033329	4.22953999435705	1.5054379546865e-07	7.96086450829168e-05
AT1G76070	3.36629914916859	3.36819379826754	4.58134005574648	1.54802346209962e-07	7.96086450829168e-05
AT2G36800	4.52202027335639	4.52252677614462	7.64712820367739	1.63303569686167e-07	7.96086450829168e-05
AT4G34138	4.46372509886389	4.46491779062864	6.35417593215993	1.63379543326961e-07	7.96086450829168e-05
AT4G17490	6.94012775871431	6.94557632102126	6.64395834138848	1.63579407704624e-07	7.96086450829168e-05
AT3G49670	-2.21253327093175	-2.21279022985407	6.25173021386244	1.68247249509457e-07	7.98333198922372e-05
AT5G49360	3.50588198711469	3.50605404662095	8.1800083352148	1.84816536408756e-07	8.55565331960532e-05
AT2G36780	4.55782544821668	4.57113374453516	2.99172901119116	1.97739192473737e-07	8.93592826940838e-05
AT3G45300	2.17427772104655	2.17468993940324	5.52843376812749	2.17856204102382e-07	9.23565731151911e-05
AT3G57520	4.92404472382113	4.92416737869216	10.0951712183412	2.1930392188312e-07	9.23565731151911e-05
AT3G30775	5.30208196885103	5.302276135215	9.81169965133309	2.240344491713e-07	9.23565731151911e-05
AT1G15330	7.62337840445123	7.72795170310626	3.12407119344035	2.24064092365356e-07	9.23565731151911e-05
AT4G13180	3.68197233224651	3.68253265913812	6.65576113552055	2.28701735322128e-07	9.23565731151911e-05
AT4G24780	-2.24714811955513	-2.24742401352789	6.18700653447316	2.34189153933587e-07	9.26022946179061e-05
AT5G61820	3.23465080980227	3.23480270764256	8.08269898080787	2.56629009332307e-07	9.94044611658611e-05
AT5G08790	5.00585569654504	5.00616003217097	8.86615325900514	2.7239776122609e-07	0.000103402190161424
AT4G38860	-3.02913869444457	-3.03001547025943	5.346027589933	2.88234960790907e-07	0.000104766488117136
AT2G31945	6.99103307466485	7.04990848291481	3.295420995322	2.92062148854214e-07	0.000104766488117136
AT1G55920	4.07481004258186	4.07501745886963	8.48528808174934	2.92551310337629e-07	0.000104766488117136
AT2G36770	4.68612349662577	4.69440653706799	3.79449417528943	3.03926369732735e-07	0.00010682449069495
AT3G61060	4.39976349278161	4.401553306098	5.70741014747663	3.18925138303487e-07	0.000110058165909094
AT1G10070	6.37413695998691	6.38372787705209	5.26311297139021	3.36961140808295e-07	0.000111464761234313
AT2G28400	3.55647747408366	3.55813332650645	4.96667544482024	3.3706127659466e-07	0.000111464761234313
AT5G61560	3.30148619670744	3.30208449748723	6.17492566087034	3.43955694866736e-07	0.000111464761234313
AT1G62300	4.18382201222643	4.18426377741445	7.50466475448935	3.4649214503817e-07	0.000111464761234313
AT1G73500	4.74319558773658	4.74447605768415	6.53143463010848	3.65127107844564e-07	0.000113792732804846
AT5G64770	-3.1872197383791	-3.18796325943749	5.74577190574972	3.65719531143076e-07	0.000113792732804846
AT1G77450	3.74437829934365	3.74526761262543	6.05206968706128	3.8236587864615e-07	0.000116119350305332
AT5G17000	2.63064597464424	2.63085073705921	7.02664618738773	3.85433038421281e-07	0.000116119350305332
AT1G76690	3.06592740852098	3.06702229138006	5.06337293089813	3.99141853727574e-07	0.000118370505996084
