	logFC	logCPM	F	PValue	FDR
AT2G46830	9.7283721921636	9.74681476035082	7.76709893376933	8.09198344255599e-14	7.7445327233706e-10
AT3G50970	10.4790444024127	10.481607554067	11.3561109400177	1.18901059725868e-13	7.7445327233706e-10
AT4G14690	13.2194199819364	13.2625685738182	10.0451573963696	1.28454681097539e-13	7.7445327233706e-10
AT1G04570	7.90536778476311	7.9087530565877	8.38253892091622	7.43233949281601e-13	2.22648901586712e-09
ATCG00270	7.53405109036177	7.53840516100091	7.64629813529971	7.48329498094064e-13	2.22648901586712e-09
AT1G09350	10.5146476239777	10.5200597056483	10.3156346674811	9.1283469881218e-13	2.22648901586712e-09
AT1G77120	8.14996156281077	8.15221605031609	9.21183160034372	1.03141663223975e-12	2.22648901586712e-09
AT4G30830	8.40620102070054	8.42309504604394	6.56714281679519	1.06994314433256e-12	2.22648901586712e-09
AT5G17030	10.6859933443994	10.8036566284174	6.09863077547652	1.21758399095932e-12	2.22648901586712e-09
AT3G21560	5.75449927306799	5.75569556453169	7.72952584195995	1.23098856408864e-12	2.22648901586712e-09
AT3G55610	6.26497124134922	6.26517085068723	10.8235433956391	1.42779394930719e-12	2.34768265101083e-09
AT4G33070	10.1176283463872	10.1607428748738	6.94390962189142	1.56929658933588e-12	2.3653222842765e-09
AT3G09450	11.708350774034	12.2193310636633	5.18974740734134	1.78923355053691e-12	2.48937440219701e-09
AT3G48360	-7.30785671590058	-7.31460347175219	6.78948452708022	2.10832190650229e-12	2.50655402826964e-09
AT1G48100	9.45744143449411	9.46155524069233	9.65038745562679	2.26159947838779e-12	2.50655402826964e-09
AT1G02820	11.7690864746049	11.7924898068048	9.46313518790142	2.28362616217679e-12	2.50655402826964e-09
AT3G22840	12.5688620442348	12.5824140763671	11.0523269933792	2.35591410850799e-12	2.50655402826964e-09
AT4G31870	7.71624093767969	7.73461990742924	5.75773764159915	2.59025360894713e-12	2.60277316805704e-09
AT3G55580	8.42726120355902	8.47734799347692	5.03598167839946	3.23377331369303e-12	2.84177037415439e-09
AT5G44110	5.63640863118307	5.63853113996472	6.78406374987007	3.24089656917572e-12	2.84177037415439e-09
AT3G26290	5.12816038025613	5.12929160007199	7.18261312687954	3.29945142131045e-12	2.84177037415439e-09
AT1G62710	8.53949386625325	8.54694258949606	7.87734381004304	3.53298033874782e-12	2.9045916084969e-09
AT2G22590	8.45684957535481	8.48868188624871	5.71329035884434	3.73103109829246e-12	2.93405041194851e-09
AT1G07180	6.58161859806213	6.58767695038562	6.2176325403667	4.06817242444185e-12	3.06587644336999e-09
ATCG00340	6.68420484394215	6.68746489291302	7.21459191917619	4.48064557291768e-12	3.24165745909448e-09
AT4G34550	9.71737009920278	9.81602413647519	5.37295325362746	4.68410153391844e-12	3.25851324784549e-09
ATCG00680	6.12898817849873	6.12996651510513	8.39479506390787	5.54295079987317e-12	3.53886848174806e-09
AT4G12470	11.715025093669	11.7815886025749	7.92693106649238	5.64380247489183e-12	3.53886848174806e-09
AT5G14760	5.65978168819218	5.66119514518784	7.39420860982086	5.77424167499628e-12	3.53886848174806e-09
AT1G01060	9.63919825137925	9.67479659739713	6.73415276777087	5.95592937600849e-12	3.53886848174806e-09
AT5G53970	6.0308136457453	6.03164293178745	8.53466484800463	6.15829582658219e-12	3.53886848174806e-09
AT5G35970	5.52762234016516	5.52801407535151	9.11296025035466	6.30168941795891e-12	3.53886848174806e-09
AT3G51240	9.50591356906822	9.51202656973189	9.13067595817011	6.64513314548893e-12	3.53886848174806e-09
