	logFC	logCPM	F	PValue	FDR
AT3G57460	5.21592126030204	5.24622781660035	3.7226424451073	6.41127439737287e-09	0.000120564015042597
AT1G26380	4.72417609330924	4.73586734726878	4.58897745516767	2.03670427371463e-08	0.00014030977107397
AT2G29720	2.69848878184709	2.70035033070182	5.15651736497233	2.23839039203356e-08	0.00014030977107397
AT5G20230	3.26168408496016	3.26328212092464	5.94481345836507	6.57679514915683e-08	0.000309191581949735
AT4G23280	4.72503563934998	4.74274792467261	3.9997623429977	1.16577972778691e-07	0.000341664416027196
AT4G23220	3.50476178638894	3.50881876220001	4.86142543831399	1.29294144428289e-07	0.000341664416027196
AT4G11890	3.96777940720785	3.97014229274244	6.11246791985613	1.41832843728521e-07	0.000341664416027196
AT1G21120	4.03355517184334	4.04308031527725	4.18579342986284	1.61873898571407e-07	0.000341664416027196
AT1G66700	4.54327967907554	4.55736997555834	4.12903967932828	1.63519263187704e-07	0.000341664416027196
AT4G18253	3.20619715708594	3.21255963231991	3.92931366782404	1.81940718994386e-07	0.000342139522068942
AT1G26420	3.54085282447236	3.54554665526243	4.69370582514155	2.59924551827199e-07	0.000444352836100953
AT1G51890	2.87509006147108	2.87665043885261	5.5881711814573	3.12123205341761e-07	0.000489123073037652
AT1G09932	2.70588167811167	2.7070874685847	5.78079032856313	3.57368179374444e-07	0.000516946816395109
AT2G25297	7.07289872353778	7.39403605509359	2.34419358951017	4.22745940046291e-07	0.000567838385897893
AT4G21120	3.90588136482777	3.92824333447338	2.85034829574603	5.98471712883686e-07	0.000725283633295634
AT5G65600	3.40121696874034	3.42953595927339	2.02635496598595	6.1709854468121e-07	0.000725283633295634
AT1G19380	2.46632319995397	2.46675971094568	6.99409886585215	1.00245180120456e-06	0.00110888859539128
AT3G45290	2.73917327336317	2.74113408436447	5.12649180714306	1.11596571594175e-06	0.00116587418268248
AT2G39518	3.01709597619804	3.01957564357895	5.07729534046537	1.27263539715595e-06	0.00125957413913251
AT1G21110	2.69535031113533	2.69885541574198	4.24616446254529	1.35980246027184e-06	0.0012785542632706
AT2G18690	2.9340704353331	2.93541581264935	5.87296434774873	1.47916033470032e-06	0.00132455286162093
AT1G24145	2.72643323464566	2.73866792849117	2.52248870519966	1.83009596262407e-06	0.00152360901692999
AT1G02920	2.89724379851822	2.89741390027351	8.80494151759249	1.86483408606147e-06	0.00152360901692999
AT5G25250	3.00690786487692	3.00943135976987	5.03864659405695	1.94451562915819e-06	0.00152360901692999
AT1G11300	2.70685938934538	2.71721244349925	2.73500915269772	2.72087351656355e-06	0.0020466410591591
AT4G14400	2.72904181696186	2.7298289384071	6.42998086043556	3.20019625097501e-06	0.00231460348075327
AT2G19190	4.12025960354263	4.12169593309913	6.98093145215652	3.76930225108244e-06	0.00262524921598538
AT5G26340	2.23871321140616	2.23935245122494	6.20520274478627	3.92003733445934e-06	0.00263272507408957
AT3G26210	2.54451003295554	2.54528228157948	6.25376509064005	4.0936402125303e-06	0.00265451393781491
AT5G57220	2.76660328909577	2.7693395886548	4.68117884628739	4.38312496327129e-06	0.00274748883114389
AT1G79680	3.12706304098782	3.14524335055856	2.3807594687103	4.53789370373173e-06	0.00275274487415081
AT2G13790	2.14406842010554	2.14479365489608	5.91436829531486	4.8721154357107e-06	0.00286312908651687
AT5G24110	3.69186399564354	3.70580917971004	3.34254726274153	5.31872352559324e-06	0.00302001846948675
AT1G58225	4.22996453808993	4.30415899390204	1.55866826204615	5.46028332691038e-06	0.00302001846948675
AT5G50200	2.28687205485605	2.2879802560122	5.4670767323013	5.81332907536992e-06	0.00312341866463804
