	logFC	logCPM	F	PValue	FDR
AT5G03545	2.05971552714743	2.05975003756891	8.79403427629244	1.41569398875742e-82	2.83011385292495e-78
AT5G64120	-2.38536968538331	-2.38548723482605	7.37785236993521	8.37416528378448e-78	8.37039690940678e-74
AT1G73010	2.54782265778388	2.54800039574117	6.96418243363329	1.44733413860875e-76	9.64455225497587e-73
AT2G28190	-2.59254706945954	-2.5927691198582	6.67987939190962	1.34274620832547e-73	6.71070986265861e-70
AT1G02920	-2.56460566355718	-2.56485003861785	6.51198060370079	1.91351538392897e-70	7.65061720802479e-67
AT1G74930	4.44373410723744	4.44748209065037	4.5141536956213	8.8737683256271e-64	2.95659170996019e-60
AT3G44260	2.60270848212293	2.60307474562957	5.98204208836837	3.24382239446576e-63	9.26389335539499e-60
AT4G24570	2.97137036696827	2.97209835581876	5.37837502479437	1.49979819892902e-61	3.74780822434875e-58
AT1G27730	2.42164221716517	2.42194268241432	6.07429982097107	5.99411354690825e-60	1.33142582129159e-56
AT4G12490	-7.72038490965424	-7.79614020086001	3.47260249228723	1.43062520734461e-57	2.85996285200261e-54
AT2G30750	-4.40241863453018	-4.4073736962363	4.0480116483151	4.45307229849184e-57	8.0928516653773e-54
AT3G12500	2.03284681275516	2.03299391092575	6.67569265871996	4.4295184386776e-56	7.37920859230033e-53
AT1G17710	2.11518093363132	2.11536873614028	6.41663112774931	1.41817208305658e-55	2.18082139326032e-52
AT4G11260	-2.41095122013164	-2.4113219490319	5.74705651015927	3.77152143774121e-55	5.38546321870604e-52
AT1G73220	3.0520949360376	3.05323641812614	4.8158070099971	3.70785441619364e-54	4.94158117560847e-51
AT4G36880	4.45209212269096	4.45822997452934	3.81613911990167	2.12457358552002e-53	2.65452190925817e-50
AT5G47230	2.618422951289	2.61906534175394	5.19031014417136	1.18622214384272e-50	1.39492746338587e-47
AT4G12480	-2.14903805366404	-2.14930824954748	5.91850331794206	2.39776226158936e-50	2.66298140952405e-47
AT1G26380	-4.29270234756211	-4.29917700409151	3.55539728249459	1.75873701936831e-49	1.85046903969431e-46
AT5G01220	1.58439657133483	1.5844334344377	8.13939043757415	2.33201619997218e-49	2.33096679268219e-46
AT3G55980	1.90133663665482	1.90148655642092	6.49847440043783	7.79176685415375e-49	7.4173910086375e-46
AT3G02040	1.78032670931339	1.7804297015599	6.89805767823858	1.42764038569586e-48	1.2972708613839e-45
AT1G02930	-1.96745765801441	-1.96763172210958	6.34909161884113	2.85078191101047e-48	2.47782526882654e-45
AT3G17790	1.76603310319612	1.76613749021522	6.86162419403935	1.3688124422792e-47	1.14016373056682e-44
AT4G12500	-3.48384926824989	-3.48677655115841	3.88119235744579	9.93265245757169e-47	7.94254621117262e-44
AT1G25400	2.25859899717488	2.25891173680433	5.84161130804436	1.93368663751832e-46	1.48678190656264e-43
AT1G47600	5.03531425312583	5.05048877484267	3.10651043056197	2.95449276035237e-46	2.18752832489645e-43
AT2G43535	1.62915847331273	1.62922725913155	7.29631849886782	1.79781680768619e-45	1.28357699294481e-42
AT1G26390	-8.37275616465587	-8.62253060099034	2.49876257326209	3.22146511865512e-44	2.2207003167943e-41
AT1G72910	2.65216690136332	2.6532557349854	4.468332522065	1.5632185517199e-42	1.04167673558108e-39
AT1G26410	-5.60851068172398	-5.63969121766619	2.62709967615357	5.70571648841608e-42	3.67945091354599e-39
AT4G14630	-3.83127761140681	-3.83711198079978	3.24348446615161	1.08372900981564e-41	6.77025832350767e-39
AT1G51470	5.02021437423723	5.03929090182032	2.76754848817479	1.68459715728372e-41	1.020508538523e-38
AT5G47220	2.50559323072295	2.50655317763619	4.49485852831692	1.71506637841692e-40	1.00840858738037e-37
AT2G11810	2.06852942523215	2.06889841561381	5.39277002238363	9.00739776681864e-40	5.1447682501849e-37
AT4G11280	2.21094516495097	2.21150058194966	4.9633584763527	5.33520369806144e-39	2.96266825355406e-36
AT1G73540	1.93151802216347	1.93180674632553	5.59063298069862	2.33363172682404e-38	1.26085491489025e-35
AT5G20150	1.45095636455239	1.45099442582582	7.92287084294676	2.57514379348665e-38	1.35472893619978e-35
AT3G47420	1.48613925323247	1.48618956635673	7.56672147506236	3.88323763215928e-38	1.99050778216657e-35
AT1G56600	2.62425871226324	2.62559602081262	4.14447390114419	4.126949786309e-38	2.06254632945258e-35
AT2G43620	-3.25131881017516	-3.25491440678306	3.3521663535187	2.17656066357424e-37	1.06125912745153e-34
AT2G05510	1.4826283110625	1.48268429880188	7.4080943053569	4.92471725801995e-37	2.34404815964469e-34
AT1G52070	2.22290657621505	2.22354727214211	4.77156053659271	6.13036493909976e-37	2.85004943017543e-34
AT2G44460	2.86738262375108	2.86954843583193	3.70720391500127	2.99429957881002e-36	1.36043279272707e-33
AT2G43570	-2.86848707513669	-2.87075522875507	3.62081971333211	2.18766098135009e-35	9.71856237292657e-33
AT1G26240	-10.2892896120071	-144269486.911763	1.77662902120788	1.31359901403869e-34	5.70872997601033e-32
AT4G01390	2.92197869417576	2.92457070383295	3.50669809247032	1.51590143414709e-34	6.44774161064565e-32
AT3G43110	1.92406384860103	1.92441339749243	5.30736450986962	1.76636854331596e-34	7.35655698946444e-32
AT1G80840	2.00074798432521	2.00118647747343	5.06881902009181	3.35096909243297e-34	1.36712700258832e-31
AT4G17490	2.17023356152794	2.17091778168264	4.61851607674201	1.18965320723115e-33	4.75647145315159e-31
AT1G09350	3.5289384568064	3.53527038197749	2.84900006504137	3.54123686414045e-33	1.38809541472611e-30
AT4G27280	1.6750582678407	1.67522625898581	6.06711861215078	1.01823069118824e-32	3.91450956683539e-30
AT2G29350	-5.96350788937185	-6.02927147327877	1.93449055821792	1.3930295622223e-32	5.25434980724266e-30
AT3G09922	1.84925461878197	1.84955701404453	5.42919742176816	1.9426598762578e-32	7.19179881227215e-30
AT3G18250	-3.47682338849573	-3.48319286486277	2.76328987355745	1.54778585490315e-31	5.62577945915799e-29
AT3G03530	2.26096848387984	2.26193478286541	4.22320339614295	3.23842454726189e-31	1.15605973436272e-28
AT5G54370	2.91405198334263	2.91718367919087	3.22776641142355	5.96705180366857e-31	2.09276022117787e-28
AT1G72920	2.18662308562527	2.18749981962809	4.28099741483693	2.18033358405604e-30	7.51500839290765e-28
AT5G20790	1.47547960377841	1.47556057130095	6.86748382214916	2.97017203498305e-30	1.00638490087027e-27
AT5G47450	1.98579140737703	1.98633985429678	4.7300978306183	2.32695000405248e-29	7.7530095885022e-27
AT1G61800	2.88449636306108	2.88782007139406	3.11267187554499	3.48707288890717e-29	1.142788100363e-26
AT1G07135	2.10168144495937	2.10239364283958	4.48527131375784	4.01374189665803e-29	1.29417281058211e-26
AT1G66700	-2.82025511199494	-2.82344594830523	3.08213454372984	1.36287850107173e-28	4.32465144681347e-26
AT1G51890	-2.95727441171215	-2.96117578740883	2.93616798772511	1.64434623465022e-28	5.13626962138946e-26
AT3G04640	2.13476569946696	2.13560864697817	4.28038316063221	1.74334130491569e-28	5.36171323485684e-26
AT4G29780	2.20043339000894	2.20147426370856	4.05037239026804	1.9751337840003e-28	5.98256052665908e-26
AT1G73500	1.97624734994322	1.9768305660476	4.63142111066855	2.29089165877085e-28	6.8354052463415e-26
AT2G42540	3.76224108428549	3.77345955144957	2.27087844484084	4.04475071420755e-28	1.18909722834887e-25
AT2G15220	-2.28061421481493	-2.2818802786932	3.83850059196629	7.24140809668394e-28	2.09801433711317e-25
AT1G52060	2.68175140723303	2.68428625846239	3.28955298145405	8.91083430329072e-28	2.54480697938693e-25
AT1G14540	-2.57864044651685	-2.58084992366627	3.3581285644625	1.77656617023632e-27	5.00215976185834e-25
AT5G52300	4.5029582085743	4.52830322791717	1.85806128494266	2.33203873530895e-27	6.47497032743906e-25
AT4G17500	1.60765310347574	1.60783971001837	5.83351393765142	4.20407084141607e-27	1.15128192042121e-24
AT4G31970	-7.81212766148434	-8.27417983284948	1.18541547625303	1.60651753117354e-26	4.33998540076896e-24
AT3G21720	2.63806435116954	2.64079975826173	3.13541780979749	2.98885482917323e-26	7.96669291866693e-24
AT5G59680	-4.27493052893501	-4.29731179597037	1.77975853998541	4.39284933023705e-26	1.15549277579959e-23
AT2G17740	-4.30316705424955	-4.32658284315213	1.74595196251468	1.05587267112496e-25	2.74129228161805e-23
AT1G23110	1.80486656644695	1.8053044010713	4.84499748095704	1.34820918581573e-25	3.45539100431312e-23
AT5G48430	-4.64482145802185	-4.67941576028246	1.53639762248818	6.18249627793174e-25	1.56448459610295e-22
AT2G38870	-1.57739332182776	-1.57759034254347	5.70700648976196	9.93510287708518e-25	2.48265802019762e-22
AT3G50970	1.63184842146888	1.63209490420155	5.46317962635331	1.45239459409712e-24	3.5845457198266e-22
AT1G13520	-3.06038806501598	-3.06639371423569	2.42705720574805	2.86865866003152e-24	6.99357991130367e-22
AT1G35720	1.27370767817343	1.27373727573656	8.04461914919814	3.87806609450548e-24	9.34053244521194e-22
AT5G04340	1.73472135673936	1.73509257750279	4.99950367726511	4.91871153706407e-24	1.17059478973152e-21
AT4G04990	-2.94604866066261	-2.95127049431498	2.50962863925327	6.70233745951772e-24	1.57631091944963e-21
