	logFC	logCPM	F	PValue	FDR
AT4G11260	-3.48379844095876	-3.48454320703833	5.91863111786602	0	0
ATCG00490	1.50786901765638	1.50792000646145	7.62865365688001	1.45429797095178e-83	1.38158307240419e-79
ATCG00680	1.52120291774831	1.52128466194453	6.9649148251887	1.59574929040815e-62	1.01064121725849e-58
ATCG00350	1.45423772395925	1.45430822418395	7.0921178156693	3.89170796422477e-52	1.84856128300676e-48
AT1G13609	5.85185795104642	5.95464817101957	1.28645080588654	3.73747312766772e-38	1.42023978851373e-34
ATCG00340	1.70882531882372	1.70914797068392	5.21855907795254	1.01276473048374e-37	3.2070883131985e-34
AT2G28190	-1.76398371496405	-1.76439728592526	4.92945320006452	7.26805493827463e-36	1.97275776896026e-32
AT5G04150	2.8547831506031	2.86061096535221	2.32790232640664	5.24667768788792e-28	1.24608595087338e-24
ATCG00580	1.75338990626034	1.7542332807755	3.89130686689521	8.85144306613872e-19	1.71551080016607e-15
AT4G27670	1.39933294364001	1.39950979700964	5.69366892665226	9.02900421140037e-19	1.71551080016607e-15
AT2G30766	3.78627146940556	3.8194083187081	0.832526925546707	4.04768161982534e-18	6.9914500706074e-15
ATCG00720	1.47468566750816	1.47498201551689	5.04980658773844	1.90774271998924e-17	3.02059263998296e-14
AT4G33720	8.00801410345346	144269484.682376	-0.307416865676357	8.82560583466907e-16	1.28989623737471e-12
ATCG01100	2.06170825952188	2.064235159747	2.67584924089358	1.55595386372874e-15	2.11165167220329e-12
AT2G14247	4.31573342978606	4.38747324117274	0.3040233008153	2.68391062906076e-15	3.39962013014363e-12
AT2G27550	1.86029363118488	1.86196417156042	3.03840539117491	5.42724352002914e-14	6.44485168003461e-11
AT3G33528	-7.68561410929577	-144269484.358566	-0.586608272764628	4.47027008350875e-13	4.85192295716121e-10
ATCG01060	2.08627881189062	2.0895905127758	2.31933834035515	4.59655859099483e-13	4.85192295716121e-10
AT3G15340	1.86424791662822	1.86620284207123	2.81889774957522	1.78630096789086e-12	1.78630096789086e-09
AT3G56360	1.24832604673773	1.24842438757507	6.331152179552	2.35594805281142e-12	2.23815065017084e-09
ATCG00280	1.27862495525639	1.27875699261738	5.94931198529333	4.36207142141438e-12	3.94663604794635e-09
ATCG00730	2.1396426323023	2.14419051256459	1.92923482816324	3.20882389365946e-11	2.77125699906954e-08
ATCG01080	2.27028203073719	2.27649641585971	1.63125766709281	5.00992158557219e-11	4.1386308750379e-08
AT1G66090	1.48451306162104	1.48510141656884	4.07689230549999	1.3435613430602e-10	1.02510520929321e-07
ATCG00690	2.22900914614626	2.23500343781167	1.63812368319612	1.34882264380686e-10	1.02510520929321e-07
ATCG01050	2.06787917975826	2.07204343556748	1.97660396536631	1.59879912200134e-10	1.16835320453944e-07
AT2G41240	5.01246729941893	5.25376108609528	-0.570444840577629	1.74262294072209e-10	1.22629021754518e-07
AT1G47400	3.95305369026187	4.03518599923677	-0.204325321703326	2.66004079431423e-10	1.80502768185608e-07
AT5G05250	1.81938911783226	1.82174170594878	2.50384172861618	1.07396962468186e-09	7.03635271343285e-07
AT1G47395	4.4064010809186	4.56905809260687	-0.636061714255041	5.00721155907116e-09	3.17123398741174e-06
AT4G26260	-1.57031360562076	-1.57140843132122	3.29842042480585	6.81501690901467e-09	4.06403619575528e-06
AT2G24710	-5.37860097784396	-5.82777155822948	-0.933033562220237	6.84469254021942e-09	4.06403619575528e-06
ATCG00510	2.54549649047142	2.55991493864959	0.751509163217851	7.75398003059882e-09	4.46441274489023e-06
AT5G65980	-2.69470774873695	-2.71360515794139	0.53756803452709	1.15943876361718e-08	6.47921662021368e-06
AT2G24850	-4.31402715107747	-4.47556518468129	-0.704768227444884	1.74779189997159e-08	9.48801317127437e-06
AT4G07820	-1.73939215489231	-1.74165547856912	2.46892645808085	2.82226382584097e-08	1.48952813030496e-05
AT1G64795	-3.98162879935358	-4.1028308892359	-0.652941820320499	4.7195073500021e-08	2.42353080135243e-05
ATCG00040	2.10532103665067	2.11201709466494	1.35133192715824	5.3115172219909e-08	2.65575861099545e-05
ATCG00170	1.77577138868105	1.77863265787936	2.17614724465754	1.18493361203523e-07	5.77275349453062e-05
AT5G48570	1.08482877904321	1.08483732392509	9.61015140299369	2.3941887387578e-07	0.000113723965090996
ATCG00520	2.05928249975443	2.06613188867144	1.26871282571997	2.60506968394187e-07	0.000120722741450965
ATCG01070	2.09290010033695	2.10042657050005	1.17613650218191	2.86849967993572e-07	0.000129765461711378
ATCG01090	2.56947579427116	2.59078239439249	0.250604408561895	6.07383874064436e-07	0.000268378921098239
ATCG00530	1.94358314354944	1.94964885884022	1.31276714242611	1.72880404883183e-06	0.00074652902108647
ATCG00360	1.70166622589751	1.70487166000167	1.92926978412893	5.19437934911295e-06	0.00219318239184769
AT4G19690	4.0570310066539	4.29163397919607	-1.33437915524677	1.05810413718301e-05	0.00423055356429529
AT5G25980	-1.19261589289775	-1.19278765337144	5.44835700624786	1.06405032020037e-05	0.00423055356429529
ATCG00710	1.53417492345824	1.53597539543679	2.54141429327948	1.06877142676934e-05	0.00423055356429529
ATCG00065	1.64355444854291	1.64645375428727	2.00112977852859	1.34805876435873e-05	0.00522716663730937
ATCG00670	1.56931152985942	1.57161389997322	2.23691418148688	2.15236543652931e-05	0.00817898865881136
AT1G56600	1.2277426472546	1.22803761465056	4.72009210556415	3.104980620313e-05	0.0115675748599896
AT1G22110	1.56600529926754	1.56842863946722	2.15936657314466	3.48614855738185e-05	0.012737850498126
AT3G27630	2.6548563873083	2.69572866101096	-0.50770308970047	3.77178987578227e-05	0.0135215108754459
AT5G20260	-1.58116305662393	-1.5838427164406	2.03834993471103	4.64488015681734e-05	0.0162574686683509
AT4G24265	2.19130063844508	2.20813621191009	0.185645086030316	4.70610935136474e-05	0.0162574686683509
AT1G71000	1.31134153364648	1.31198231676018	3.72412720250276	5.07504845421773e-05	0.0172189143982387
AT2G44460	1.60752946751455	1.61077827183439	1.79880944618247	7.73166494048014e-05	0.0257722164682671
AT5G43300	1.56814937053022	1.57109109270515	1.88903685836729	0.000115144344976051	0.0377196992162925
AT1G09350	1.6051888497976	1.60865071797592	1.70586020874722	0.000121071446548751	0.03898910990553
AT1G52560	1.08669562808876	1.08673565121202	7.38582871478378	0.000145414225406002	0.046047838045234
