	logFC	logCPM	F	PValue	FDR
AT2G46830	10.8743169821369	10.8932006554772	8.90176148202346	1.13149707157095e-15	2.04585985510743e-11
AT5G17300	7.62488388330573	7.63082094332211	7.31248812382559	9.92325085483452e-15	5.30576498450737e-11
AT5G14760	6.87847678569028	6.87993985647684	8.58638625079899	1.15681389617775e-14	5.30576498450737e-11
AT3G50970	9.26407048673509	9.26669079320915	10.1318609887897	1.41332863550056e-14	5.30576498450737e-11
AT3G55580	10.4653254968275	10.5166707641348	7.06313779421997	1.80106025696913e-14	5.30576498450737e-11
AT1G04570	7.8998835789182	7.90334866133554	8.36586993100225	1.9662985342382e-14	5.30576498450737e-11
AT3G09450	12.629390356725	13.1504405024106	6.10950178184424	2.3145557541598e-14	5.30576498450737e-11
AT1G09350	10.0733313696872	10.0788686691972	9.86397329052075	2.34755377888717e-14	5.30576498450737e-11
AT1G26790	12.7451903389262	13.2662457960614	6.22558513815154	2.85089510040378e-14	5.4276481248363e-11
AT2G31380	8.69564862210079	8.69918080924948	9.13357589768982	3.75635444021028e-14	5.4276481248363e-11
AT3G14770	5.59440673678578	5.5958598160978	7.31031558591228	3.99166601970144e-14	5.4276481248363e-11
AT4G14690	10.6842123317665	10.7283338917988	7.49927029390183	4.16920310097742e-14	5.4276481248363e-11
AT4G30830	8.72493883530517	8.74223285401828	6.87428975520138	4.41941761701171e-14	5.4276481248363e-11
AT3G51240	7.61867595045071	7.62490773454349	7.23696736416382	4.58354549623498e-14	5.4276481248363e-11
AT5G42760	6.59454055302793	6.59675114750738	7.70585880786182	4.74087484322939e-14	5.4276481248363e-11
AT3G17130	6.86672778169736	6.86953830615561	7.63366663715086	4.80296277846252e-14	5.4276481248363e-11
AT5G44110	6.05670894707009	6.0588921154284	7.18598204220013	5.55524355544542e-14	5.90849168976522e-11
AT5G15950	6.82152054273257	6.82201630388159	10.089944527725	6.42054725056283e-14	6.44943971319036e-11
AT3G47420	7.82258033193358	7.82676280267886	8.0181452203822	7.46983163524844e-14	7.10852767352248e-11
AT1G64500	4.95558274890863	4.95641600553895	7.47296084548608	9.17785251250251e-14	7.97688441652102e-11
AT3G55610	5.44347190442066	5.44367410551475	10.0054926079281	9.26467411907203e-14	7.97688441652102e-11
AT5G17050	5.27316664345611	5.27408941657472	7.64437493260229	1.12073353509911e-13	9.21090138551227e-11
AT3G09350	6.29864323514472	6.29957227090658	8.66161117536661	1.1924758607988e-13	9.35398435167006e-11
AT3G02380	5.64784819864418	5.65060487018712	6.43934400934723	1.24161066556098e-13	9.35398435167006e-11
AT2G24540	6.85837601434166	6.8664304021834	6.10733309865714	1.31864661648136e-13	9.53697978903978e-11
AT1G07400	8.10722821532729	8.13305268577898	5.68155619601044	1.44635245784138e-13	1.00582687654731e-10
AT3G21670	4.86961061821138	4.86985854717025	9.13640479289423	1.51659763901396e-13	1.01561488559301e-10
AT1G32900	8.04648790102226	8.05139641226266	8.01200866479936	1.70339882861534e-13	1.09996979357835e-10
AT5G54470	7.84603493159678	7.85677144540993	6.68050457983028	2.15344832128327e-13	1.34263789990078e-10
AT5G53970	5.60327348526917	5.60411759608227	8.10343513511819	2.2902432982535e-13	1.38032963585738e-10
AT4G15430	7.46347017229763	7.48170924353911	5.53552192298597	2.51784195676058e-13	1.4375456572692e-10
AT5G43630	6.04829863458587	6.0501408471339	7.42126201163289	2.54482973796841e-13	1.4375456572692e-10
AT1G10410	5.15436595586248	5.15498756835344	8.09563292912969	2.67780861091146e-13	1.4375456572692e-10
AT3G27170	7.4181565738153	7.43814446040739	5.35852544452961	2.7031996209918e-13	1.4375456572692e-10
AT4G27940	4.74693710616361	4.74775285975422	7.29417156242339	3.43509908763483e-13	1.77457218867216e-10
AT5G55180	6.25547726634586	6.25700926542477	7.8949040602995	3.78129499157988e-13	1.89537124996419e-10
AT3G54500	4.65237094746326	4.65330877977002	6.99839349760618	3.87858726003402e-13	1.89537124996419e-10
AT4G25433	9.50151175029903	9.54015946305476	6.50435796896019	4.53729138787775e-13	2.1589148837952e-10
AT1G07050	-5.08573383585499	-5.08857835116245	5.84224995534115	4.90395810752999e-13	2.23684508050888e-10
AT5G12020	8.20697182834318	8.23952260074753	5.4504692742823	4.94849860186688e-13	2.23684508050888e-10
AT1G62710	6.77167273246554	6.77924308798352	6.1057254302371	6.22287752866823e-13	2.71698082851829e-10
AT4G20070	4.21388447461023	4.21464076052342	6.86793645954987	6.31122143674398e-13	2.71698082851829e-10
AT5G18670	5.88392370768472	5.88550670989277	7.47628866917687	6.66556169955777e-13	2.80279118813265e-10
AT4G01870	4.66031484635619	4.66066212417949	8.44036508709153	7.53128949356587e-13	3.09484648484465e-10
AT4G04020	4.13705116365129	4.13711684915375	10.3173003373562	8.63306446013691e-13	3.46876530008301e-10
AT1G01060	10.8614393203054	10.8978813824554	7.94615146325119	9.30908419785893e-13	3.65907720394538e-10
AT5G17030	9.06762011003308	9.18777344530241	4.46471320731689	9.60799492508976e-13	3.69361610792016e-10
AT1G74310	4.8986776858767	4.90085937955004	6.02534413980296	1.02059177490884e-12	3.69361610792016e-10
AT4G32190	4.93352113247751	4.93395421207017	8.39522711676599	1.02918438830846e-12	3.69361610792016e-10
AT5G54585	7.33310320517025	7.33659818354295	7.78711064930266	1.03193280053092e-12	3.69361610792016e-10
AT5G15850	5.84391897042352	5.84452339305482	8.82640095612423	1.05434428600728e-12	3.69361610792016e-10
AT1G48100	9.84548187814255	9.84969063142725	10.0280621642038	1.06226446331424e-12	3.69361610792016e-10
AT3G48360	-6.0127641113455	-6.01554815168874	6.79332031028202	1.16288446812076e-12	3.96719133360217e-10
AT5G62430	4.54238885951052	4.54323821804017	7.03074864630659	1.20475366053665e-12	4.03391684003023e-10
AT1G27760	4.02443757096929	4.02467850491162	8.32858810623062	1.30266560751397e-12	4.2824539726291e-10
AT5G08640	5.87691414007477	5.88026653101669	6.3855141052231	1.33597922195171e-12	4.31248113956426e-10
AT4G18205	-5.39705168385557	-5.39880852884676	6.84263256838786	1.37684295275531e-12	4.31248113956426e-10
AT1G64780	4.40840247058944	4.40909978088895	7.18031912193715	1.38335217131092e-12	4.31248113956426e-10
AT4G38960	5.01920975643231	5.02431387845445	4.91755298380751	1.47193138208159e-12	4.43646500561934e-10
AT2G25530	5.2932974239575	5.29934399224856	4.94731037399887	1.47219678301621e-12	4.43646500561934e-10
AT5G35970	4.23894504876493	4.23933310121817	7.85649534748186	1.72819299416654e-12	5.12253402090577e-10
AT4G27360	15.001286845071	144269491.920765	6.76103334111573	1.87458096800594e-12	5.41672131132954e-10
AT4G30470	3.96971517299126	3.97006509221516	7.73454070612265	1.89723829679838e-12	5.41672131132954e-10
AT1G19450	4.8297624096747	4.83018150609485	8.33832552986748	1.91731742671915e-12	5.41672131132954e-10
AT5G52310	4.43510406982416	4.43513129399793	11.8876606037551	1.95101307477385e-12	5.42711806230554e-10
AT5G55970	5.11427906072457	5.116985928486	5.93059822192622	2.03293733157629e-12	5.56932422609558e-10
AT2G24100	4.56124738700618	4.56225582736238	6.80237106877773	2.1918630769641e-12	5.91508601411759e-10
AT4G23630	4.02080992566171	4.02086263375648	10.517826754283	2.50131603558921e-12	6.64950376930025e-10
AT3G27350	4.51199366261761	4.51322956876868	6.45886909356005	2.53755743643447e-12	6.64950376930025e-10
AT3G62550	-5.26744462194215	-5.26951032826523	6.48400579630508	2.60887273497064e-12	6.71130107101625e-10
AT1G51090	4.94065900774925	4.94102349871323	8.65129272790928	2.68042899928188e-12	6.71130107101625e-10
AT4G22690	-5.60975985652071	-5.61109618232162	7.45127104227352	2.70514690798335e-12	6.71130107101625e-10
AT1G71360	4.43042971484893	4.43128745529229	6.90379473453428	2.70961217954862e-12	6.71130107101625e-10
AT4G17550	4.74518861242007	4.74568035838996	8.02354513458361	2.76180895923127e-12	6.74814429619738e-10
AT4G37760	4.71037516537302	4.71078933638197	8.23558195943209	2.92781368368533e-12	6.99336428404474e-10
AT4G23180	-4.42771775832407	-4.42831691780467	7.42424342477722	2.93952594207953e-12	6.99336428404474e-10
AT2G24600	-4.78205472872557	-4.78273369581976	7.59773832276392	3.22031570572382e-12	7.37945419027208e-10
AT5G56030	4.06851584839587	4.06858849668637	10.1029333018807	3.2441776140147e-12	7.37945419027208e-10
AT3G22840	9.17487504998695	9.18872543714452	7.64813770890988	3.26870701884895e-12	7.37945419027208e-10
AT5G25110	6.75126885171431	6.76473054409311	5.25499692203507	3.29795210880009e-12	7.37945419027208e-10
AT2G24560	10.9186043211087	11.4394966672241	4.39154386298778	3.30587793491532e-12	7.37945419027208e-10
AT3G17609	5.23536979822323	5.23650775563435	7.30526253069104	3.37815750323762e-12	7.44883729463896e-10
AT2G20880	-5.18971439316345	-5.19496265552265	5.07328834711633	3.48788686555158e-12	7.52010283940756e-10
AT1G07180	5.94529361500123	5.95145646108061	5.57557160010691	3.49365985570618e-12	7.52010283940756e-10
AT1G19490	6.29741364571163	6.30420470583768	5.79038064486932	3.57666357607259e-12	7.60819460223159e-10
AT3G14810	4.66349941950002	4.6648139858245	6.5208209226631	3.65533057737653e-12	7.68512001971453e-10
AT3G09440	5.16982765925932	5.16989747873694	11.2657118046303	3.81168480665769e-12	7.92173252749169e-10
AT4G34610	3.8574518442526	3.85818270457653	6.55795685352281	4.06305262925491e-12	8.34818802154068e-10
AT3G08730	3.48321967852541	3.48347880416379	7.67573066360563	4.5538460028746e-12	9.16194789369625e-10
AT1G75180	4.52661248886205	4.52742372635882	7.08014855041064	4.60251576568478e-12	9.16194789369625e-10
AT1G80760	5.06359283714743	5.06620684809676	5.92901896705664	4.61112360116342e-12	9.16194789369625e-10
AT4G31870	6.07479547727164	6.09341130055112	4.10959605492431	4.78167219620062e-12	9.31584108439664e-10
AT3G26740	-3.62232659577451	-3.62248834338407	8.49942649554273	4.79162226010114e-12	9.31584108439664e-10
AT2G21320	6.69123449026377	6.69299345168707	8.13540197957984	4.98242824329676e-12	9.53033260794055e-10
AT1G33230	3.87593944607569	3.87640544610562	7.22621970684165	5.00736462449174e-12	9.53033260794055e-10
AT1G52855	4.27177767678203	4.27457015016638	5.03772647241841	5.21171725892055e-12	9.81594372484817e-10
AT3G21560	3.89009038679182	3.89125355644426	5.91935775700008	5.53913152272554e-12	1.03077874925597e-09
AT3G53230	5.92375321489877	5.92645633046531	6.74525685368554	5.62380043969989e-12	1.03077874925597e-09
AT4G34650	4.96738039247977	4.96996636613661	5.84808345445193	5.64388563554786e-12	1.03077874925597e-09
AT2G47490	3.53121062115399	3.53186746068865	6.38140948757575	5.75454829624536e-12	1.03197137671116e-09
AT5G67030	3.6930702834111	3.69321478150757	8.73172620333165	5.76456551340232e-12	1.03197137671116e-09
AT1G21100	-6.54179529017563	-6.55327382997991	5.29742189872815	5.92792080314692e-12	1.05081113766372e-09
AT5G57800	3.85339436855305	3.85387647130851	7.15489247165881	6.25514167393355e-12	1.098050646664e-09
AT5G57660	4.0111010705436	4.0112769856144	8.76874928593075	6.65637959985289e-12	1.15724999562442e-09
AT5G02270	4.16874261017343	4.16990215463778	6.20409093662219	6.88813178355419e-12	1.18613629312803e-09
AT5G62130	3.55974797920362	3.56062789891962	5.9877656417893	7.19316155685952e-12	1.21597947535298e-09
AT1G69870	3.7236276670545	3.7236803370163	10.2188390626608	7.19594070365405e-12	1.21597947535298e-09
AT2G36630	4.65524074649421	4.6558415173732	7.64320934974676	7.49909080296903e-12	1.2382825903854e-09
AT3G14690	3.94047963250246	3.94065488816974	8.70317079294589	7.50407825358771e-12	1.2382825903854e-09
AT4G17090	3.70714271362985	3.70715305083106	12.5513759420996	7.53338227655518e-12	1.2382825903854e-09
AT1G20440	3.8680141643734	3.86803001220522	12.0975193115198	7.78722899749901e-12	1.26847646399801e-09
AT5G06980	7.47807447946476	7.48708420586827	6.56815109695059	8.20553906345893e-12	1.31350215787582e-09
AT5G50100	4.21028326728501	4.21117523415671	6.62687922759304	8.20893445273868e-12	1.31350215787582e-09
AT3G55120	4.2948696691206	4.29698143502748	5.46523963929647	8.52563076108707e-12	1.35220991044926e-09
AT2G31750	4.06221108868739	4.06304319526356	6.57704053576951	8.85753352685019e-12	1.39263533651286e-09
AT4G03400	5.01343638754845	5.01495626678729	6.66322946743421	9.02382759418443e-12	1.3950469699245e-09
AT5G08330	-4.01622025493199	-4.01881617054809	4.90959106646513	9.02718298109434e-12	1.3950469699245e-09
AT1G21790	3.80639048838611	3.80695030498148	6.89122391142394	9.13641397445567e-12	1.39996187349265e-09
AT1G04220	6.22106196771254	6.23446858207626	4.72799149223759	9.25857727563968e-12	1.40675912370455e-09
AT3G24170	3.58780245150403	3.58799321864047	8.22411028323416	9.55719828765168e-12	1.44003085199192e-09
AT1G62180	4.85197696733559	4.85209786759903	10.1550529041369	1.00033313830315e-11	1.4947953284016e-09
AT3G17800	3.99066654315061	3.99078842364243	9.27800751160626	1.02197356735416e-11	1.51461508781398e-09
AT4G15248	6.65046813934685	6.66151761909117	5.44283104545438	1.03204660625754e-11	1.51710851119859e-09
AT1G69160	5.27522097414747	5.28014602211879	5.22614482183106	1.04226502850151e-11	1.5197737080916e-09
AT5G01340	4.61389874181105	4.61537055842686	6.30981971657789	1.17416699063525e-11	1.68877111350159e-09
AT5G47560	3.66560811052294	3.66577593101273	8.48797984408925	1.17684398153421e-11	1.68877111350159e-09
AT5G55620	3.75179192425064	3.75265281206928	6.21482625099269	1.20175773139872e-11	1.71094342845829e-09
AT5G13750	3.99680436114226	3.9975236335981	6.72110717768433	1.29084878133483e-11	1.82342475119648e-09
AT5G64840	3.28658086427459	3.28668537473161	8.78602989036888	1.31433766012688e-11	1.84221234362435e-09
AT5G57220	-9.03650964495935	-9.08603510027161	5.69941194472688	1.38143376532143e-11	1.92136183929051e-09
AT1G20450	3.55381366396307	3.55382674554559	12.056347920077	1.4259524279911e-11	1.96814090461886e-09
AT5G62350	3.35130830353438	3.3514057300083	8.95327952095498	1.45152486984452e-11	1.98825917967111e-09
AT5G13370	3.44364656493204	3.44413855681501	6.70992868827441	1.48335844161838e-11	2.01658676563172e-09
AT5G05270	5.41323541487614	5.42069360853383	4.76456590225825	1.70453092605184e-11	2.29997191596591e-09
AT3G50560	5.12159161166817	5.12661958111801	5.04325969787416	1.74690439787609e-11	2.33968729022204e-09
AT1G69570	3.85392916868782	3.85541393272547	5.53040781526231	1.77238856013349e-11	2.35344187930515e-09
AT5G17220	10.0899751817085	10.6106922949725	3.55662657059679	1.79268103150197e-11	2.35344187930515e-09
AT3G24190	3.23511585831499	3.2352746779723	8.12938141999836	1.79622243982142e-11	2.35344187930515e-09
