	logFC	logCPM	F	PValue	FDR
AT4G37370	6.70012946734459	6.70986033379726	6.76793210385028	3.29630576694905e-13	5.39493287692005e-09
AT5G65600	7.25703424859369	7.29106383307663	5.52738457092299	9.28809065144206e-13	5.39493287692005e-09
AT5G64750	7.56796998538189	7.58812185580004	6.5957713103827	1.10564288064843e-12	5.39493287692005e-09
AT4G31950	11.5167300776557	12.1504104221841	5.86323775916283	1.13535705306888e-12	5.39493287692005e-09
AT1G56240	8.12431862417002	8.15342860430709	6.61963774535505	1.68182613203995e-12	5.51505572296997e-09
AT1G30720	5.58634706325406	5.59132673143725	6.61837502597546	1.84077891660981e-12	5.51505572296997e-09
AT3G52450	6.58351046250634	6.58837393779453	7.64809517612054	2.03111432949912e-12	5.51505572296997e-09
AT2G29720	6.02115985217435	6.02354000693368	8.1214306925604	2.39779419916293e-12	5.55684636624373e-09
AT1G56250	7.11578676740382	7.13953369089409	5.90945711614226	2.63122098680452e-12	5.55684636624373e-09
AT1G15520	6.33968322770284	6.34264186407425	8.12960374294254	3.04283148707412e-12	5.78350980748178e-09
AT4G20860	5.26402140838062	5.26532499086465	8.2324923269784	5.93443760455553e-12	9.8165150732911e-09
AT4G35110	5.53725898680666	5.54244130914145	6.52208654386901	6.68062444974342e-12	9.8165150732911e-09
AT3G45060	6.62891326855466	6.64949936448135	5.62683650511959	6.71408933302385e-12	9.8165150732911e-09
AT1G14540	10.1531689236138	10.2130197788367	7.63622532322724	7.71484024211011e-12	1.04739977486991e-08
AT1G26380	9.57141329687737	9.5846697746305	9.21631683543383	1.02217735987902e-11	1.17700230776144e-08
AT4G04540	6.74067990771128	6.78908432772281	4.53174252253677	1.05072044287695e-11	1.17700230776144e-08
AT5G55090	7.89579335984426	7.95139793783389	5.46496388386071	1.05271948397667e-11	1.17700230776144e-08
AT1G13520	6.5655680909733	6.59245510287175	5.18538446476116	1.4749133615769e-11	1.55742657019401e-08
AT5G56960	9.6182407258477	9.86149158855398	5.16397052183701	1.59988952216318e-11	1.60047895514503e-08
AT1G08050	5.10771885879312	5.11472202342359	5.65580030301293	1.81697821811214e-11	1.65426471797328e-08
AT5G61560	5.01687242350811	5.0193176874754	7.08104861348113	1.84681927429513e-11	1.65426471797328e-08
AT1G79680	8.37801466110203	8.40045793660077	7.25722647884647	1.91475897276856e-11	1.65426471797328e-08
AT5G01550	6.66944404551577	6.69730658399265	5.23689654400372	2.20682862595712e-11	1.67567456910251e-08
AT2G39518	6.61043440055753	6.61350667187199	8.34459228902564	2.22002839912202e-11	1.67567456910251e-08
AT4G23550	5.92189904150974	5.92555276056269	7.40300798053091	2.32685271476582e-11	1.67567456910251e-08
AT3G11840	5.5797480601819	5.58795655624946	5.89122781173487	2.37514746369878e-11	1.67567456910251e-08
AT2G35930	6.31545319137512	6.32034750513469	7.38754212898723	2.380344786961e-11	1.67567456910251e-08
AT4G39640	4.44733688649568	4.44878730691103	7.25831027848867	2.52866706944811e-11	1.67717986144183e-08
AT1G07160	7.00543548552892	7.03438648517039	5.51743723582525	2.59274882361951e-11	1.67717986144183e-08
AT3G54150	6.46643546940865	6.47200728463956	7.33876878435507	2.70483467939733e-11	1.67717986144183e-08
AT2G35980	7.40474155209781	7.42713226699417	6.28653866742482	2.81851454909003e-11	1.67717986144183e-08
AT1G26420	6.6773303299971	6.68292037680222	7.54688741769892	2.9050633897276e-11	1.67717986144183e-08
AT3G26500	5.34375517550911	5.34802205622504	6.59747314749128	2.91192378742465e-11	1.67717986144183e-08
AT1G71697	4.76489326853579	4.76608876310404	7.85762431298421	3.00480491865597e-11	1.67977432614394e-08
AT4G23280	7.88953809770963	7.9096481540554	6.93199848043518	3.33232792347215e-11	1.71848535597718e-08
AT5G67340	5.44477685923958	5.44993291100775	6.44086576038219	3.35975840120042e-11	1.71848535597718e-08
AT4G21390	4.59327622485647	4.59662973202425	6.20438716638847	3.46075818222149e-11	1.71848535597718e-08
AT1G07000	5.31577325289863	5.31741264678706	7.95338854560225	3.58968219666035e-11	1.71848535597718e-08
AT4G39670	6.40975241873252	6.41791800763953	6.73419831026553	3.60370593034121e-11	1.71848535597718e-08
AT4G28350	5.78812050880318	5.80795542903914	4.85307472978944	3.61653150097791e-11	1.71848535597718e-08
AT1G21120	7.91660735660188	7.9276999237425	7.80677665415813	3.75942212067068e-11	1.72036037817109e-08
AT1G76600	5.96030614903258	5.96591711862908	6.82071520332141	3.80150133546513e-11	1.72036037817109e-08
AT1G26410	8.70529566440522	8.80128829257082	5.51663320803735	3.92429249478641e-11	1.73462854531175e-08
