	logFC	logCPM	F	PValue	FDR
AT1G04570	8.62156763232206	8.62582313826237	8.68987815466921	4.77080509892871e-14	4.90812779851847e-10
AT2G46830	8.33902618304558	8.3569711872315	6.33431411768208	5.42904463084837e-14	4.90812779851847e-10
AT4G33070	11.3968222559125	11.4959298304015	6.96784671140667	1.3116992318142e-13	7.47750594633124e-10
AT3G12320	7.86302923852991	7.87755086196173	6.16363296801291	2.01832130774482e-13	7.47750594633124e-10
AT2G31380	7.39710412453084	7.40215010052313	7.21945246321876	2.39307359140235e-13	7.47750594633124e-10
ATCG00720	8.29026716952029	8.30046442335217	7.09765400724472	2.48133597024432e-13	7.47750594633124e-10
ATCG01100	9.7506544165678	9.76974173463854	7.66150522222542	4.35547694673382e-13	9.32886589740435e-10
ATCG00270	9.60301766953156	9.61039894543271	8.88005332747066	4.46542905398008e-13	9.32886589740435e-10
ATCG00490	7.95757382423041	7.95835976820671	10.4605370104815	4.64353703205791e-13	9.32886589740435e-10
ATCG00680	7.38420619968376	7.3853200263427	9.38338654381113	5.99131653965616e-13	1.08328994353523e-09
AT1G77120	7.33565467171468	7.33781273391296	8.37977076787151	7.15479478239231e-13	1.1760531314585e-09
ATCG00150	6.86159558712709	6.86650898738967	6.72092219178403	8.09749503111374e-13	1.22009006381306e-09
AT5G45820	10.810170645807	10.9282860686403	6.13648190073069	9.28958586476757e-13	1.29203847708356e-09
AT1G78600	5.57099413851873	5.57204082150094	7.6595644405164	1.1007318031742e-12	1.42159512379948e-09
ATCG00710	8.46445765958158	8.50233518508387	5.38979322640328	1.18397846207608e-12	1.42716763818651e-09
AT5G43630	5.42721774666693	5.42901295850073	6.73621501515247	1.40668157080498e-12	1.45090280008165e-09
AT5G06980	7.09059323328511	7.11152140598578	4.86158824347569	1.43456130581284e-12	1.45090280008165e-09
AT5G64170	5.50334011000274	5.50556907075095	6.50030068081324	1.44440298664177e-12	1.45090280008165e-09
AT5G24470	5.73165023569524	5.73213798839279	8.92125923903232	1.76403891386913e-12	1.67871513692989e-09
AT3G21560	5.24041096022415	5.24131661695247	7.53719053138931	2.10574127719375e-12	1.90369540164701e-09
AT3G50970	7.76716274214263	7.76930562445266	8.8227601354633	2.37358430224018e-12	2.0436560842288e-09
ATCG00070	5.5751837727596	5.57717184227051	6.73758193048399	2.52660368076899e-12	2.07652368872655e-09
AT1G22770	6.02379835858795	6.02462531351852	8.45313704857941	2.68329043595392e-12	2.10941627706447e-09
ATCG00180	7.13086184943627	7.13722141352209	6.61627328561972	3.60279286047747e-12	2.65781809801636e-09
AT4G33980	5.20081016992904	5.20166909135066	7.57456525119343	4.09384231732057e-12	2.65781809801636e-09
ATCG00160	8.78858242005368	8.90650019186629	4.11202968459404	4.16445683168547e-12	2.65781809801636e-09
ATCG00130	6.46020765397935	6.46354430367173	6.87820988783006	4.19895702474048e-12	2.65781809801636e-09
AT5G02810	4.50632614298737	4.50689517796888	7.47153360902758	4.19954151587467e-12	2.65781809801636e-09
ATCG00650	7.59586296185243	7.60570326244409	6.45714378474039	4.31577889669147e-12	2.65781809801636e-09
AT1G71000	6.05959939989298	6.06663275193466	5.4004113774044	4.40985249380514e-12	2.65781809801636e-09
AT1G70420	5.02714575292853	5.02790242735504	7.5830256671789	4.86210297022181e-12	2.78640632110575e-09
AT4G34550	10.9789770472995	11.4915565358832	4.37372515512305	4.93141984820441e-12	2.78640632110575e-09
AT3G15750	5.51842129716156	5.52086923375111	6.37969300550074	5.33389557357917e-12	2.92248987472379e-09
AT5G17460	5.76657767364796	5.76717295205959	8.66925647790815	6.31268571051758e-12	3.35704912740789e-09
AT3G55610	4.47231885019129	4.47250112052581	9.08004233479196	6.56245176613618e-12	3.36236008992285e-09
ATCG00120	6.41139085416258	6.41378419742266	7.30736752188382	6.69459450457512e-12	3.36236008992285e-09
AT1G10410	4.7872880583647	4.78781271214773	7.87059517014733	7.0297219553195e-12	3.43525412632789e-09
AT1G01060	6.45011132071528	6.47248897428268	4.12125337531162	8.11883233120894e-12	3.85605436409308e-09
AT5G20830	4.77119618734793	4.77135026078599	9.62241011824402	8.31735635195122e-12	3.85605436409308e-09
ATCG00630	5.49871560093384	5.50193154299207	5.96678239873569	9.6860220765902e-12	4.35874458119097e-09
