	logFC	logCPM	F	PValue	FDR
ATCG00490	2.86866282825464	2.86880358460891	7.65671514713219	7.32051379723099e-45	1.43767570463819e-40
AT4G11260	-3.54675140846772	-3.54746498490927	6.01159554299345	1.95635446537461e-43	1.9210422672746e-39
AT1G02920	-2.53460120271958	-2.5346644434038	8.46064105678637	2.99773697251931e-43	1.96241854677689e-39
AT2G30750	-3.2458069070716	-3.24625823003307	6.36541715119388	5.01880804064482e-43	2.46410927775559e-39
AT1G02930	-2.43141528475232	-2.4314891733327	8.12615976738192	6.67081896674052e-42	2.62016427375634e-38
ATCG00350	2.73899322046417	2.73918821774224	7.05214269475989	1.45173653175576e-41	4.75177562452522e-38
AT4G12490	-6.04973098668711	-6.06298872783568	4.31977248617484	9.41549800769286e-39	2.64158521961543e-35
AT4G37370	-4.09464443391096	-4.09698931407731	4.85180251252134	1.79821619656736e-38	4.4143959855483e-35
AT5G64120	-2.27699517011655	-2.27707903434807	7.77679398516042	2.48062370000971e-38	5.41299653827674e-35
AT1G02520	-3.74994932008388	-3.75183757784475	4.81682323310566	4.08149885271733e-36	8.01565559685157e-33
ATCG00020	2.15423147563962	2.15431767391633	7.60253414113322	9.37122884041336e-36	1.67310511997162e-32
AT3G02480	-5.30174036933864	-5.31021879124705	4.21412930622766	1.21756800957169e-35	1.99265151166488e-32
AT2G38870	-2.30579949398415	-2.3059862855483	6.65382740527505	2.13506109614744e-35	3.22542037440304e-32
AT1G17180	-2.928017159119	-2.9287784760177	5.28614926973363	5.65280222529325e-35	7.92967020732386e-32
AT2G16060	-2.55493335704606	-2.55531826850014	5.8785027887488	1.18831585120692e-34	1.55582233345685e-31
AT1G26240	-4.46847088605078	-4.47328974541733	4.19161079562109	1.34129322476403e-34	1.6463536025713e-31
AT3G46280	-2.83795943933714	-2.8385949350714	5.45224181081737	5.8342174186428e-34	6.73989387557211e-31
ATCG00280	2.57640388849139	2.57686717378855	5.63400733774198	1.01950755016361e-33	1.11233937653685e-30
AT3G44300	-2.7073614116721	-2.7079426423246	5.44477955644296	2.35346510968611e-33	2.4326158573224e-30
ATCG00680	2.97081262363713	2.97124726934442	6.13694241409114	9.32520891921107e-33	9.15688889821931e-30
AT2G41730	-4.13543960763297	-4.13964952937072	4.05341908377225	1.75883357637084e-32	1.64484440982605e-29
AT1G26390	-2.80366427999207	-2.80438593267853	5.23438491914517	2.26927593036985e-32	2.0257413634788e-29
AT5G52300	-3.30209843605507	-3.30377358392072	4.53545750524279	2.53263118338746e-32	2.16253668741506e-29
AT2G44790	-2.41925762494268	-2.41965450256482	5.68946652204346	4.22910970502996e-32	3.46064522904514e-29
AT4G37030	-4.25142723971764	-4.25639454559559	3.93109877711084	5.27936599585869e-32	4.14725875170675e-29
AT4G12480	-2.22537472694294	-2.22564165565977	6.0516723055999	8.48642218466204e-32	6.41018635709914e-29
AT1G52690	-4.6458468337817	-4.65447628648245	3.53629058394833	1.96699049110838e-31	1.4307306020325e-28
AT4G31970	-4.21167242174867	-4.21761050641906	3.63678987459366	5.19024019333766e-31	3.64039739846279e-28
AT2G28190	-2.6345919168762	-2.63525236887743	5.18487129143581	6.94872768945732e-31	4.70572631356042e-28
AT3G13610	-2.07535918215961	-2.07557281817559	6.20635280932297	1.4241319002278e-30	9.3228421295246e-28
AT5G42830	-2.96026898267812	-2.96145297117856	4.68394519132358	1.56789691525885e-30	9.93287984476406e-28
AT1G17170	-2.43280738328905	-2.43330083547179	5.39077044104332	4.05052006428339e-30	2.48588011070192e-27
AT2G14560	-4.39176917623608	-4.39955343024095	3.42913378693403	4.56505178159942e-30	2.71675914966155e-27
AT2G26560	-2.4753080887809	-2.47584444623327	5.31624070656422	5.39075737532744e-30	3.11379659100163e-27
AT1G30700	-2.61200451142441	-2.61278705502496	4.91713411898793	1.73092608847619e-29	9.71247355759539e-27
AT1G14870	-1.83785709739958	-1.83794838628848	7.16062400016546	2.01524496225232e-29	1.09937210593537e-26
AT4G12500	-4.12140251989402	-4.12571670213207	4.00272272122171	2.22769387199223e-29	1.18242378248798e-26
AT2G47000	-2.08736201196807	-2.08757640634981	6.21518195180232	3.58695642245743e-29	1.85379571528004e-26
ATCG00340	2.42129407232856	2.42184270913641	5.22667017394859	5.62123544153544e-29	2.83065238041832e-26
AT1G13520	-3.0777627210499	-3.07935664426265	4.37833529736472	2.31493731847066e-28	1.13657634993613e-25
AT1G05680	-2.86021836498775	-2.86156574187585	4.39519911803474	4.19384891948033e-28	2.00885363243108e-25
AT5G39580	-3.1413833649887	-3.14337217676342	4.12507517912332	5.23485080511281e-28	2.44779130860977e-25
AT2G29350	-3.6777276849993	-3.68152918805041	3.73999521079455	5.82529318996454e-28	2.66053332459799e-25
ATCG00270	2.56238770488871	2.56316648751379	4.87234271627754	8.51284721485708e-28	3.79963196483132e-25
AT4G36880	4.06569696394238	4.0730519462219	3.18516617915818	1.35512280461949e-27	5.91405705776049e-25
AT1G32350	-4.87707007242967	-4.89235702578288	2.95181881967522	1.55173840439663e-27	6.62491098346641e-25
AT5G03545	1.65536452202047	1.65538983251098	8.79247673202438	1.81250596917915e-27	7.57357547419348e-25
AT3G03270	-1.87567191325279	-1.87584270271581	6.30158713974389	8.12218984635928e-27	3.32316013318021e-24
AT3G16150	-3.3030174127888	-3.30594305863203	3.73767874282569	1.40967856476184e-26	5.64993414966484e-24
AT3G18250	-3.01496829100519	-3.01706412271797	3.92127388238778	3.2298360652992e-26	1.26861500972822e-23
AT2G45220	-2.56755312413975	-2.5686133259906	4.43397966211388	6.14927005840502e-26	2.36795126817679e-23
AT1G60730	-1.93608395563526	-1.93633010168368	5.8449056559015	9.51781556780828e-26	3.59462269108051e-23
AT2G17740	-4.24915041593753	-4.2604944035314	2.75304868199687	5.23872852296125e-25	1.94119602759313e-22
AT5G40010	-4.6344254643295	-4.65055796580596	2.63456342099178	7.23206080780455e-25	2.63019337415692e-22
AT2G39200	-2.71359259798225	-2.71515120706464	4.03478154252218	1.21349443576984e-24	4.33305767710617e-22
AT5G43580	-2.23155720820394	-2.23221817094522	4.75325620222217	2.49986427425449e-24	8.76693472894356e-22
AT3G22235	-3.90896833755668	-3.91828841197925	2.6927223571132	5.12543963743776e-24	1.76593875508141e-21
AT1G77120	-1.72241345118428	-1.72252904108532	6.68401117026021	5.28152495621291e-24	1.78834256232871e-21
AT5G06760	-4.06874325032127	-4.07888124722037	2.73140546846306	8.96837834844981e-24	2.9852539387323e-21
AT3G48450	-3.17857994491719	-3.18255116253232	3.17322573207185	2.15665435960557e-23	7.05908916138231e-21
AT1G09350	3.49454232005698	3.50033177732241	2.95527086756061	5.74517514210245e-23	1.84966384615984e-20
AT1G14540	-2.60819086053838	-2.60989628441869	3.79443735918586	6.85129925803878e-23	2.17020429239716e-20
AT3G01420	-1.51099885100514	-1.51102485598976	8.57283540373938	1.00761659871035e-22	3.14104482255121e-20
AT1G60750	-3.71672104704702	-3.72475997488896	2.71168823318623	1.59162931335352e-22	4.88406376327341e-20
AT1G53625	-2.96664305856848	-2.96926151141612	3.55354230790102	1.81862333258027e-22	5.49476055823752e-20
AT2G43620	-3.08835896096009	-3.09183894084998	3.27046580426317	2.3771959596706e-22	7.07359870484407e-20
AT1G26380	-2.14525864277925	-2.14588521612044	4.73494952986387	2.67709619224158e-22	7.84708837603469e-20
AT1G58320	-2.74154658815577	-2.74367496878553	3.6177817678689	4.35926681699233e-22	1.25899472086636e-19
AT2G43570	-2.11886171404477	-2.11949632663546	4.68757701441397	4.59678257801989e-22	1.294577073181e-19
AT5G59320	-3.09431958495908	-3.09813548849002	3.14554311675882	4.61430801581904e-22	1.294577073181e-19
AT1G18970	-3.25314280734766	-3.25812600876375	2.92577059455643	6.06028477722888e-22	1.67630891183096e-19
AT1G67980	-2.98919739336781	-2.99243225438518	3.27353151476979	6.41005101807907e-22	1.74843044366743e-19
AT5G38900	-2.58885435139197	-2.59069409371441	3.66617879498042	6.66357133128425e-22	1.79268325171358e-19
AT2G11810	1.65808146887756	1.65822244781118	6.31901082674656	8.511870009865e-22	2.25898128545593e-19
AT5G25930	-2.26185192975539	-2.26285417763361	4.1876172237619	2.19514122874888e-21	5.74805047885325e-19
ATCG00720	2.40753606050367	2.4087385482378	4.0834145498674	2.31020211733553e-21	5.84354869737647e-19
AT5G44575	-2.50380581573156	-2.50538498824498	3.79480064482211	2.31857489378647e-21	5.84354869737647e-19
AT5G23220	2.68684597925742	2.68905232707938	3.50756418091567	2.32087580016989e-21	5.84354869737647e-19
AT2G19190	-3.78467645222586	-3.79393722969152	2.57854134251843	3.65064295648532e-21	9.07531354714117e-19
AT2G44370	-2.76233444047138	-2.76507711275182	3.27599609159915	5.72080087144155e-21	1.40438510392801e-18
AT4G27280	1.67929580513922	1.67948421557212	5.92727031690437	6.81738551709342e-21	1.65292140950861e-18
ATCG00140	2.39200008413631	2.39326909143498	3.98897651914576	7.04582513521826e-21	1.68747511988477e-18
AT5G48430	-3.67767083864599	-3.68722842848635	2.42620982921672	9.51380627013567e-21	2.25110411252041e-18
AT5G01220	1.44741192822232	1.44743522164507	8.64947452030913	1.1977556530128e-20	2.80032419875219e-18
AT4G11650	-1.52182046586812	-1.52186677754496	7.75427515932398	1.40220726995558e-20	3.23975865584208e-18
AT2G36690	-2.08678981039209	-2.08753346406189	4.42432343232768	1.63065087635427e-20	3.7237619256653e-18
AT2G40340	-3.46801324444651	-3.47632883580098	2.41436890872211	2.18844962375809e-20	4.94011059321667e-18
AT4G08555	-3.001956294004	-3.00637377232808	2.84168157738944	2.47531959627123e-20	5.52418199445122e-18
AT4G26200	-2.22260853848708	-2.22362015221711	4.13153629328392	4.18370272518237e-20	9.23188065391647e-18
AT2G15220	-1.83426026166696	-1.83464752058633	5.07482901308217	5.24387482677233e-20	1.14427175247757e-17
