	logFC	logCPM	F	PValue	FDR
AT5G13170	8.86207815910089	8.88792291908489	6.36764320381115	1.16367978760665e-15	2.19318729570225e-11
AT3G17520	8.19315060108754	8.21068695988199	6.25351951301794	4.46873219183055e-15	4.18554547498547e-11
AT1G07430	7.03177623077469	7.03809664409236	6.55703010696584	6.78088011600004e-15	4.18554547498547e-11
AT2G45570	7.33195436130669	7.35064073577145	5.3006225460139	8.88320788451312e-15	4.18554547498547e-11
AT4G33150	5.59605236690637	5.59698389917606	7.8817602498375	1.14457303980739e-14	4.31435361624999e-11
AT5G40800	6.88477954559665	6.90824762567346	4.52875298230197	1.59185273886633e-14	5.00027476156896e-11
AT5G25460	-3.96472798543903	-3.96540164490708	6.71628024501328	2.72799563821298e-14	7.34493339905715e-11
AT1G21400	4.05125281778684	4.05184695509939	6.9812290826492	3.42484844760876e-14	7.98528026244287e-11
AT5G45630	5.99826873387419	6.00788430170632	4.92058977146436	3.81320753233861e-14	7.98528026244287e-11
AT1G02816	4.12287917078271	4.12375942613017	6.48547875011827	4.76966690223756e-14	8.98939121064713e-11
AT4G02280	5.31134207678639	5.3159080739827	5.30502695105448	5.3224828753806e-14	9.11934861384529e-11
AT2G47780	7.24538473382189	7.25669980961235	5.9331879580028	7.04776385853597e-14	1.10691004534856e-10
AT3G03470	4.75858312630403	4.75944463535257	7.15499464761928	8.86756416727421e-14	1.20849700101166e-10
AT4G33905	5.70771396907558	5.71403402599579	5.23359115933656	8.97700324410419e-14	1.20849700101166e-10
AT3G20300	3.4802531859074	3.4808561669331	6.38231379150614	1.27742940168192e-13	1.5335937904778e-10
AT2G17500	4.82600274610804	4.82737216162531	6.5526200105428	1.30955955256419e-13	1.5335937904778e-10
AT4G24000	10.3765499861846	10.6275882587435	4.71332936228118	1.38330208723524e-13	1.5335937904778e-10
AT1G66940	-4.68078126336452	-4.68584523690488	4.53625393025012	1.56878500346947e-13	1.64260505335495e-10
AT5G13330	4.59619061353706	4.60075921676061	4.58848809612058	2.14069778369904e-13	2.12345953312505e-10
AT2G25625	8.29378543844777	8.38219827304505	4.05729786539818	2.35411245702636e-13	2.13144613489198e-10
AT5G15500	7.82539623753505	7.8479848244277	5.52376860299799	2.37493334921906e-13	2.13144613489198e-10
AT1G27020	-4.50051194754919	-4.50357958795507	5.07187230594925	2.52178586330369e-13	2.16036809844021e-10
AT4G27260	3.81697205913639	3.81767366658763	6.50492272374813	2.70656031859926e-13	2.21784966628871e-10
AT3G13672	5.44762321852577	5.458308964998	4.2203450878809	2.83988828118316e-13	2.23014060147746e-10
AT5G50360	8.19639417411128	8.2500774277909	4.66255882088537	3.14667621743056e-13	2.37221626679655e-10
AT5G01520	4.7432527829111	4.74429555305274	6.86655027084656	3.5390968984797e-13	2.56543689406334e-10
AT1G13740	3.22598506365038	3.2271544769329	5.16918789938768	3.76307141206821e-13	2.62676321863887e-10
AT2G29090	3.67295274532707	3.67392703874992	5.88651581425891	3.9661607664799e-13	2.66965114163738e-10
AT3G63210	3.67805796047626	3.67936526671722	5.46697538800995	5.07215635802271e-13	3.29637692688462e-10
AT4G34000	4.02952174451369	4.02978614864059	8.12640195048284	5.49256838105725e-13	3.45061454259287e-10
AT3G11690	3.6179401435225	3.61906847309222	5.61761871189367	7.2620333082586e-13	4.41508199228225e-10
AT1G51140	3.68192494842224	3.68238458174077	6.97803747145499	8.52137098037831e-13	5.01882121459969e-10
AT1G72770	3.78189424841691	3.78204483495391	8.68896158598396	9.19150554141024e-13	5.24946378602906e-10
AT1G53580	3.02702774792372	3.02726267873565	7.27860883229709	1.01674414651018e-12	5.63605203802274e-10
AT1G62660	3.44387487722325	3.44414400061918	7.50854821358926	1.09258456645876e-12	5.81887265396749e-10
AT1G24600	5.04660301497369	5.05502694147122	4.16075471951825	1.11147352651791e-12	5.81887265396749e-10
AT1G21790	2.99573212197744	2.99655204412458	5.44553965250728	1.16469533897887e-12	5.84568934852626e-10
AT3G03341	7.97145233178494	7.98843537305232	6.0765065928016	1.17862893428131e-12	5.84568934852626e-10
AT3G62590	4.25515954964171	4.25746024429737	5.2325680746144	1.24193717320972e-12	6.00174100089322e-10
AT5G01300	6.63110134644366	6.66939512597264	3.57884701372726	1.27946934439173e-12	6.02853968343773e-10
AT5G39610	6.09334192571507	6.10232718685994	5.11448057068486	1.53288877847452e-12	6.96641786148325e-10
AT1G24580	4.38751880749946	4.38894202520777	6.05969186549802	1.55244627888946e-12	6.96641786148325e-10
AT5G13820	3.37520062995854	3.37663007597717	5.030154186268	1.62265120162443e-12	6.97274650012314e-10
AT4G30460	3.84753841443339	3.84908649681375	5.39274576498497	1.67855830915107e-12	6.97274650012314e-10
AT3G27250	6.48708728615756	6.49020609602641	7.02760800403337	1.6943005794374e-12	6.97274650012314e-10
AT3G17000	3.393624328338	3.39395467098777	7.16216564925546	1.70427664293048e-12	6.97274650012314e-10
AT1G73390	3.06120567908838	3.0613350559125	8.17440397831368	1.73883952621525e-12	6.97274650012314e-10
AT4G39260	-3.21522363785665	-3.21590923873886	5.93065480740633	1.9278835161241e-12	7.56975429758144e-10
AT3G08860	6.79307978822983	6.82667779355358	3.92557483541035	1.97992648679939e-12	7.61544377483838e-10
AT1G08630	5.45990813299362	5.47103915278744	4.17522656020451	2.12261500640994e-12	8.00098500516164e-10
AT5G39520	6.67412707831428	6.71243096783026	3.62242020856261	2.43406610251527e-12	8.72346593618917e-10
AT1G62570	5.26025337114225	5.26151960002836	7.09937781801597	2.44731938014258e-12	8.72346593618917e-10
AT3G23920	3.5524450447964	3.55251600780235	9.54232020214475	2.48250762937585e-12	8.72346593618917e-10
AT1G02660	3.64738585354383	3.64857430025269	5.57331362273075	2.49942781638571e-12	8.72346593618917e-10
AT1G21410	3.39906796197226	3.39988567047223	5.85982582333721	2.87799966249292e-12	9.86211993436439e-10
AT1G69530	-3.66601684947839	-3.66633379783238	7.50022312006843	3.02878197660896e-12	1.01934739130623e-09
AT2G33590	2.88984153194252	2.89007398514651	7.15184195185439	3.09204836144354e-12	1.02238307838818e-09
AT1G04220	3.6369132066844	3.63715545845612	7.85602303842437	3.25793333205546e-12	1.05679734381665e-09
AT2G40610	-7.89005458667128	-7.94219639828577	4.40694354457475	3.31076568654996e-12	1.05679734381665e-09
AT2G28400	4.46016695283134	4.46190226720651	5.84444895986873	3.36434661373157e-12	1.05679734381665e-09
AT2G18050	4.64164876454995	4.64973078685363	3.81768775853143	3.78401857356486e-12	1.16706537297066e-09
AT5G18130	3.65838898137773	3.65903637605342	6.45892060330484	3.83923452667166e-12	1.16706537297066e-09
AT4G24130	3.20914925209171	3.21027390387694	5.20872664974723	3.93769278959396e-12	1.17799517469012e-09
AT5G49280	3.42898144339206	3.43074691043591	4.78073710959365	4.05299177911567e-12	1.19354275095302e-09
AT5G22460	4.25098153605917	4.25561697632625	4.22330472326552	4.40068206483101e-12	1.275994690398e-09
AT1G45249	2.77356391676318	2.77386239371173	6.67094442972755	4.69786045805403e-12	1.34152387959006e-09
AT4G10960	3.91530786215149	3.91703956618924	5.29929259455848	4.78583233332639e-12	1.34624749233138e-09
AT4G22920	2.67075298532225	2.67104538005186	6.59284175832141	5.06154209641416e-12	1.40286593957526e-09
AT1G02205	3.5908913454893	3.59097727388298	9.30506573897606	5.36977048740372e-12	1.46672557066808e-09
AT4G33540	2.88478934492571	2.8851398236605	6.5549665065387	5.5744727827946e-12	1.50088697910471e-09
AT4G34860	3.57005039600094	3.57208383612563	4.72271727055952	5.82055213167327e-12	1.54506966233304e-09
AT3G22200	2.90185422109114	2.90200130449866	7.82455099498654	6.18074409174419e-12	1.61789560968198e-09
AT1G48100	3.30527977198917	3.3057690228553	6.50393643521089	6.30145436054864e-12	1.62689740182548e-09
AT1G79270	3.04096149585249	3.04109562334239	8.10126544345131	6.47658277502047e-12	1.64943250446439e-09
AT3G10420	2.7542001967199	2.75426065922737	8.95388766209599	6.59342470205829e-12	1.64943250446439e-09
AT1G15125	-5.4115590053731	-5.42035764551674	4.47196617865353	6.65129040904621e-12	1.64943250446439e-09
AT1G17870	3.09327144611992	3.09458823654838	4.86061420529004	7.28220281898071e-12	1.78243735752376e-09
AT3G63060	4.7474824550074	4.75611957843653	3.82605757387491	7.56711325467923e-12	1.82842799372999e-09
AT1G19970	3.15191176078594	3.15280149514481	5.48463622186353	7.78567817196305e-12	1.85742628489858e-09
AT5G61820	4.06365493462262	4.06381566886901	8.87857890771098	7.92244046893724e-12	1.86620664467584e-09
AT4G28040	7.1983281159115	7.28642917675884	2.97426947750894	8.02051988214269e-12	1.86620664467584e-09
AT2G02710	3.01353902700442	3.01379672411318	7.13282766353487	8.23359976618931e-12	1.87421106700191e-09
AT1G09530	2.7214270239035	2.72195767532765	5.78620019953363	8.25380795676546e-12	1.87421106700191e-09
AT4G22820	3.07414086168281	3.07460007112588	6.35939014474966	9.50487686908984e-12	2.132600170854e-09
AT4G30490	2.64921221706845	2.64941651807211	7.08768941140446	9.77641624968387e-12	2.16771902420932e-09
AT1G72680	2.9608013468042	2.96149040876487	5.65893075161888	1.00515033789585e-11	2.20279865329338e-09
AT2G22240	3.64668386305826	3.64682820944982	8.61311378610846	1.02281789143685e-11	2.21341922503116e-09
AT1G17940	3.9948958831066	3.99527128560387	7.58516530011494	1.03348486126568e-11	2.21341922503116e-09
AT3G06070	-2.80333969809621	-2.80429890898287	5.02506979977711	1.06881368588083e-11	2.26336309413439e-09
AT5G59960	2.59104714604027	2.59140191273885	6.23004152959573	1.13369430076999e-11	2.35324556682212e-09
AT1G74670	-3.98586671438795	-3.99066187383969	3.91917399372684	1.13623041641011e-11	2.35324556682212e-09
AT1G50260	2.82795033820476	2.82846671192488	5.9371815325049	1.17987912924592e-11	2.41708499444543e-09
AT1G72760	5.9397363440773	5.96035240916782	3.7727209344335	1.2249606200129e-11	2.48245514036377e-09
AT2G42790	3.27940968418335	3.27987464044155	6.55248252283166	1.25692259413779e-11	2.52012980124626e-09
AT5G60360	2.70626723503267	2.70630268597016	9.67388644786281	1.27958201866911e-11	2.53855603219545e-09
