	logFC	logCPM	F	PValue	FDR
AT4G04540	6.50428804860628	6.55498731183569	4.29966941425929	3.20294012320775e-10	3.06416287502434e-06
AT1G26380	7.88354872753148	7.89739109755682	7.56782800039068	6.33107087394858e-10	3.06416287502434e-06
AT2G39518	6.18353695736063	6.18675459737849	7.9566855266126	6.78116640522396e-10	3.06416287502434e-06
AT5G55090	7.2231502104525	7.28149687329974	4.80517229610608	6.83350385395247e-10	3.06416287502434e-06
AT4G23280	6.62969404151508	6.65065705811024	5.70871693098895	9.24971616760047e-10	3.06416287502434e-06
AT5G61560	4.45446003638478	4.45699249433665	6.56594111998653	1.10699268864301e-09	3.06416287502434e-06
AT1G26420	5.80200788582713	5.8078307171886	6.71498396668534	1.13027033383413e-09	3.06416287502434e-06
AT5G02780	5.38806526347581	5.40193092252536	5.01308433266916	1.34876444534576e-09	3.19943785991581e-06
AT5G20230	4.91441791152441	4.91642267159569	7.35830468558772	1.98508659926537e-09	3.56508012940967e-06
AT1G30700	6.34763544399662	6.35403827690066	7.13275161383692	2.04420623243128e-09	3.56508012940967e-06
AT1G79680	6.65373495123822	6.67716165304938	5.55048634467984	2.20337474670573e-09	3.56508012940967e-06
AT3G47380	6.65342435961139	6.66473426516971	6.61169413434382	2.4365855421932e-09	3.56508012940967e-06
AT1G65690	5.37318745873514	5.37584569077657	7.42193153045426	2.4422217253689e-09	3.56508012940967e-06
AT3G26830	5.08237578947915	5.08624434799611	6.58292980571426	2.66727623023987e-09	3.61549293009014e-06
AT4G35110	4.73144888394281	4.73680026071414	5.74877299178803	3.129903145928e-09	3.67871983049612e-06
AT4G04510	7.36023289190697	7.49251885285856	3.77204849816908	3.1960720074818e-09	3.67871983049612e-06
AT4G21120	6.46167715114196	6.48899477599356	5.11780845513298	3.33263499057348e-09	3.67871983049612e-06
AT5G36907	5.93323628718135	5.94736143744601	5.54733049371263	3.86087199120964e-09	3.67871983049612e-06
AT1G51890	5.37530216778223	5.37734589514766	7.79329192045937	3.96844026393288e-09	3.67871983049612e-06
AT1G02920	4.6817110076594	4.68192929749519	10.3339261301467	4.23726792743143e-09	3.67871983049612e-06
AT5G36925	6.82860196974126	6.83365819389767	7.95454173442176	4.25183880007747e-09	3.67871983049612e-06
AT5G01550	5.79821035518901	5.82725344540061	4.38763805788517	4.26473290145516e-09	3.67871983049612e-06
AT1G30755	4.32363043144896	4.3253261813062	7.00513462136337	5.32809511034999e-09	4.26290947896549e-06
AT5G64890	6.21139030795261	6.23959932213334	4.81692595097937	5.39125401776739e-09	4.26290947896549e-06
AT5G26340	4.6082662513197	4.60916303693584	8.21988443842371	5.69184311003482e-09	4.32056426796523e-06
AT5G42830	5.53614991439342	5.54104143963636	6.70272479438715	6.99404713868576e-09	5.10484740580152e-06
AT5G65600	5.89868390137107	5.93410939628675	4.14900589936396	7.57262672660438e-09	5.32243471817672e-06
AT3G09405	4.31417954285933	4.31867564879915	5.57015986774835	8.54822830240741e-09	5.79356173195662e-06
AT1G26410	7.0540650020694	7.15434816838017	3.84482019809079	8.98390880617214e-09	5.87888404878375e-06
AT5G25930	4.09893558697399	4.10126735187032	6.32081856458405	9.5119760284383e-09	5.96011961875317e-06
AT2G18690	4.74841100124053	4.7501259090615	7.42341133904306	9.73619160991454e-09	5.96011961875317e-06
AT5G61890	6.51919576719194	6.54392106684291	5.36284631474543	1.10268340543672e-08	6.01632137194323e-06
AT5G48530	4.25977320601439	4.26203647865057	6.5271273952484	1.11069305403228e-08	6.01632137194323e-06
AT5G57480	3.64687635611773	3.65093787693431	5.05111645985888	1.11647309977662e-08	6.01632137194323e-06
AT1G70520	3.69204805875433	3.69286913870248	7.42035251789067	1.12601159957267e-08	6.01632137194323e-06
AT5G25250	5.14618266957673	5.14941830721391	6.89469218239735	1.14131616899382e-08	6.01632137194323e-06
AT3G60120	8.69104414516185	9.34968886295965	3.02782213170296	1.24324687816165e-08	6.37651243429016e-06
AT1G61360	3.64044735640216	3.64175848239142	6.69154145581747	1.31791824604177e-08	6.58161435661436e-06
AT1G09080	5.29837173404652	5.33319341672025	3.6261007740323	1.46767929755541e-08	7.14157693069463e-06
AT3G52450	5.78351899517615	5.78860851991131	6.890890003829	1.54853060358628e-08	7.34661631606421e-06
AT2G27690	4.56315543251487	4.57118559568746	4.98614884063561	1.88732003903971e-08	8.73552984898942e-06
AT4G12500	4.21063199937797	4.21303640142057	6.39279696919829	2.05702073024167e-08	9.26549413916269e-06
AT5G19230	4.24871375500287	4.25055657297853	6.8102943592503	2.13664647765102e-08	9.26549413916269e-06
AT1G15520	4.56090347138778	4.56392319033796	6.42183735394582	2.16471553388833e-08	9.26549413916269e-06
AT4G37900	3.97843282757823	3.98392241952888	4.9459755161629	2.28878514957381e-08	9.26549413916269e-06
AT3G09830	3.67797649854626	3.67895992949091	7.14496055318774	2.38765257651776e-08	9.26549413916269e-06
AT4G25110	4.22861538331835	4.23279035644542	5.59800466410489	2.39472198895684e-08	9.26549413916269e-06
AT4G28350	4.66571630194897	4.68606612024259	3.76689159013327	2.42360324070775e-08	9.26549413916269e-06
