	logFC	logCPM	F	PValue	FDR
AT1G73010	2.35582319807493	2.35591746180396	7.73281814930564	7.93444173190005e-95	1.51698591472197e-90
AT4G11260	-3.39383109778975	-3.39449362548793	5.96141463634805	7.8343304687386e-92	7.48922821159067e-88
AT1G17710	2.2425062059329	2.24263892675035	7.11974127134434	8.67167019590753e-81	5.52645541585187e-77
AT5G20150	1.90969411299573	1.90974178615158	8.21619749185069	1.32120476490804e-80	6.31502847506919e-77
ATCG00490	1.83681990306832	1.83687387314199	7.95376610757306	2.55211184738349e-72	9.75876528202499e-69
ATCG00680	1.93024243645906	1.93033062663955	7.35708160719304	7.35258262481516e-68	2.34290045339735e-64
ATCG00350	1.87405853354183	1.87413547214747	7.48831935608732	2.08121887572272e-65	5.68440338356325e-62
AT5G01220	1.61057273499949	1.61059825773998	8.75805467383969	2.66207155437346e-65	6.27203336163283e-62
ATCG00020	1.54057177811107	1.54058642953095	9.4691584713447	2.95247137688663e-65	6.27203336163283e-62
AT1G56600	2.49639691390296	2.49680053164267	5.8012010793371	4.40800068583083e-65	8.42765651123996e-62
AT2G28190	-3.17527043697275	-3.17659295268359	4.73551728339146	3.32643608535088e-63	5.78164831962031e-60
AT3G12500	2.67702443278406	2.6776416712062	5.38461959477945	1.01579621679073e-62	1.61841732240183e-59
AT3G02040	1.75997549933607	1.76004671000466	7.465138485948	4.6282810332627e-60	6.80677731345766e-57
AT5G03545	2.05944402861985	2.05946806791309	9.37065562147357	9.40918766313591e-59	1.28495899236782e-55
AT3G17790	1.7795680855281	1.77965721603547	7.16673405329498	1.03653279721548e-56	1.32116470333086e-53
AT4G36880	5.23130615574898	5.24981282022455	3.11298858343833	9.66197563479845e-52	1.1545457010107e-48
AT1G73220	2.74720760740445	2.74836733615664	4.55729147837458	7.90548705269103e-50	8.89088276237646e-47
AT2G11810	2.33631266812607	2.33667106565926	5.8003196142113	1.80071743162785e-49	1.91266203196072e-46
AT5G20790	1.90431418884455	1.90450483966684	6.22288745974134	1.55644693647471e-48	1.56619520939263e-45
AT3G09922	2.12493123905771	2.12529550880006	5.54546468182924	2.95249004798598e-48	2.8224328613722e-45
ATCG00280	1.77494827450631	1.7750998090911	6.40036222464403	4.14871147522203e-44	3.77710546165571e-41
AT5G20410	1.94047717602869	1.940787488809	5.56704154879061	3.27830740844272e-41	2.84899815190984e-38
AT1G09350	3.43005786779284	3.43451468907651	3.33581993139007	6.26486907106802e-40	5.20774051172824e-37
AT1G23110	2.08061281491044	2.08114299329899	4.95940699154262	8.13609918429584e-37	6.48142001268968e-34
AT3G48360	-1.48963636072779	-1.48970682712738	7.12562087247873	7.42898997684272e-36	5.68139437469024e-33
AT3G47420	1.51115817473591	1.51123579132588	7.03516221289051	3.93423999874264e-35	2.89302825138309e-32
AT3G30775	-1.3802894298259	-1.38032420526306	8.0041483128688	9.33465188755059e-35	6.60997071992888e-32
AT3G03530	2.0743930568445	2.07496228028355	4.85095430918525	1.63618559134141e-34	1.11722258288773e-31
AT2G45130	2.14657819299844	2.1473369854105	4.52052236800606	2.27567197888523e-33	1.50029560566575e-30
AT4G01390	2.2561630078249	2.25714464069304	4.27235284632984	6.55721521074002e-33	4.17891325380461e-30
AT2G43535	1.56426832040997	1.5643903573058	6.4539544253737	1.95841410341504e-32	1.2078361046191e-29
AT2G44460	2.98902330253338	2.99304960758611	3.03297682756662	1.58746254735722e-30	9.48459263841336e-28
ATCG00270	1.81224954475149	1.81263437334974	5.10986529166999	4.14505768504097e-28	2.40149569334237e-25
AT3G05630	1.70605547031542	1.70635276719348	5.35269307249668	3.86385551940629e-27	2.17273687280967e-24
AT1G61800	3.40883220976267	3.41780420749907	2.32359404063727	7.92360325143495e-27	4.32832487326242e-24
AT1G08310	1.70766712155319	1.70797556371873	5.30209071803476	1.58991213842163e-26	8.44375838180085e-24
AT3G43110	1.85817929103798	1.8587269839159	4.65924379884161	1.54539826082979e-25	7.98553225643372e-23
ATCG00340	1.69099633921241	1.69130215924391	5.29409869449558	4.7286404002987e-25	2.3791283108766e-22
AT4G07820	-3.04445929613535	-3.05115814660659	2.27529225844573	9.00641458481912e-24	4.4152215499271e-21
AT5G23220	2.55822801965232	2.56137828891982	2.93327383100946	2.55167755492543e-23	1.21963807931548e-20
AT4G26260	-2.36447697461564	-2.36667625385963	3.16218040948585	3.16441194738211e-23	1.47561931760972e-20
AT2G27550	2.17182659962968	2.17353615217982	3.38792449551039	4.30748499850741e-21	1.96082870682055e-18
AT4G21020	6.37682830327842	6.61182165183862	0.76610705208726	5.31619302517571e-21	2.36372777786824e-18
AT3G57520	-1.2130053663248	-1.2130234428964	8.71616730377987	3.45054241158255e-20	1.49933909925106e-17
AT2G42540	2.9707732869743	2.9786598824495	2.06371440790436	8.50223142754822e-20	3.61231472585099e-17
AT1G67810	2.03519362543626	2.03665029379638	3.46385681065413	6.08738816845835e-19	2.53010379114685e-16
AT1G08165	2.48077006568054	2.48455165479805	2.59299484542638	6.22471115227506e-19	2.53213303234781e-16
AT3G25240	1.73563663544318	1.73622148579925	4.42005225529304	1.5172603795603e-18	6.04343774933613e-16
AT1G02980	6.8421949161525	7.28047720467686	0.449197353098962	3.40666496762107e-18	1.32922505134586e-15
AT1G08830	-1.64185265703245	-1.64230142079264	4.63579636652988	4.94381737311312e-18	1.89041688713099e-15
ATCG00720	1.53690469225086	1.53719385182009	5.18374122112101	8.32126810386366e-18	3.11949656623077e-15
AT1G08650	1.43352344969577	1.43369193150919	5.82293590531329	1.17638971768013e-17	4.32526827160122e-15
AT2G45135	2.5150753293659	2.51955530442396	2.38898881531798	2.39189005416264e-17	8.62840489538405e-15
AT1G77760	-1.25863569441774	-1.2586839396829	7.36138875201594	2.61388931957858e-17	9.25462035204128e-15
ATCG00690	2.67784415702949	2.68397036566315	2.11691302468261	3.80422236544647e-17	1.32241686190856e-14
AT3G19920	5.93780106259832	6.17185778408527	0.359726757486435	2.35151205589885e-16	8.02831410655895e-14
AT4G19690	5.91130071486772	6.14528952411182	0.334392307735904	2.56145353838543e-16	8.59165442112122e-14
