	logFC	logCPM	F	PValue	FDR
AT2G46830	8.2276968328123	8.2461565436482	6.26521730547818	1.84924593959466e-11	2.04757328179287e-07
AT3G50970	7.9686952382558	7.97125799999208	8.84663319248113	2.61760340344822e-11	2.04757328179287e-07
AT1G04570	8.33150501972236	8.33490445457374	8.80342518947543	3.3994022387264e-11	2.04757328179287e-07
AT1G09350	9.04113425013396	9.04655648761914	8.84005469589916	5.07725670535725e-11	2.29365071664514e-07
AT5G24470	5.73114456665769	5.73164063724496	8.97689014770902	8.7770236526105e-11	2.45856727992036e-07
AT1G29920	6.64679554601892	6.64687936756484	12.4580798155104	9.73507581637836e-11	2.45856727992036e-07
AT1G77120	7.37925895891093	7.38151485942518	8.44097769600195	1.01500603120905e-10	2.45856727992036e-07
AT4G33070	9.9977184719893	10.0409603718335	6.82081334484043	1.20241456777663e-10	2.45856727992036e-07
AT1G53035	4.89967771919393	4.90122140634405	6.50644474299413	1.22452161147113e-10	2.45856727992036e-07
AT3G55580	9.48775910832312	9.53807378782504	6.09294089197831	1.49240001912515e-10	2.69676683455914e-07
ATCG00340	7.39464395489686	7.39792662786907	7.91621836527608	1.77349699262418e-10	2.71956206480802e-07
ATCG00270	8.2709097191245	8.27528718141997	8.37667415505017	1.93858802825603e-10	2.71956206480802e-07
AT1G72645	-5.67727514468363	-5.68542620074607	4.90024848930539	1.95651947108491e-10	2.71956206480802e-07
AT3G48360	-5.49502387735721	-5.49692348201338	6.80802043001238	2.1297748898407e-10	2.74893087567296e-07
ATCG00300	9.08151226242679	9.10586823714557	6.72200904502619	2.59433928565172e-10	3.12531405944844e-07
ATCG00680	6.70528645280392	6.70627265754412	8.96057314713265	3.00279015680082e-10	3.37673417164974e-07
AT3G21560	5.43545064862995	5.43664511844236	7.41323002649784	3.50489123313509e-10	3.37673417164974e-07
AT2G05100	5.33073998138949	5.33083390365326	10.9770301792494	3.79119570871777e-10	3.37673417164974e-07
AT3G47420	6.3205638307027	6.32462901737562	6.53471554087568	3.84738907561352e-10	3.37673417164974e-07
AT4G18422	8.97652968280527	8.99500913489664	7.0141687940431	3.85517032144945e-10	3.37673417164974e-07
AT3G54500	4.53494595347993	4.53586208495668	6.89347447828526	3.94422297491079e-10	3.37673417164974e-07
AT1G22770	5.19391923833714	5.19443939301953	8.37059341205656	4.19265766638405e-10	3.37673417164974e-07
AT1G05675	-4.65758689443629	-4.66035003435638	5.43404923766279	4.30042077311501e-10	3.37673417164974e-07
AT1G10410	5.03893549867745	5.03954343853509	7.99058286019609	4.61236841995656e-10	3.37673417164974e-07
AT2G46790	11.0155802180259	11.1336117412444	6.42446967136181	4.76301579089295e-10	3.37673417164974e-07
AT3G55610	4.51161168474053	4.51180568645118	9.10949902852535	5.12173406567068e-10	3.37673417164974e-07
AT3G47340	7.80978340002622	7.83736398371449	5.26948737134794	5.1767898757095e-10	3.37673417164974e-07
ATCG00180	6.48513414239919	6.491734810732	5.9983758946301	5.23234957422206e-10	3.37673417164974e-07
AT2G05070	4.63021605495296	4.63029389717207	10.5459697197198	5.49484973661716e-10	3.42385981864387e-07
AT1G49720	4.65259230074217	4.65325851277349	7.47111445006271	5.81525139612351e-10	3.50271975759839e-07
AT5G54470	6.84699656431849	6.85747697158982	5.69497731450324	6.69069515695735e-10	3.90002778987804e-07
AT2G31360	4.3061214936346	4.30620502809622	10.1187109274326	7.22633928804943e-10	4.08062346672041e-07
AT2G31380	6.75867310801754	6.76211176232756	7.21297391032121	8.10751051098977e-10	4.40413121374823e-07
AT1G02820	9.88852523706399	9.91198409593349	7.57973100036569	8.52078284406656e-10	4.40413121374823e-07
AT5G43630	5.47877531275417	5.48056828979722	6.86965259023019	8.53041463647969e-10	4.40413121374823e-07
AT1G51090	4.82425227917303	4.82460855155694	8.546070399661	9.46716852365987e-10	4.6239271736104e-07
AT5G60890	-4.24958205927132	-4.25166549355825	5.43112367792257	9.57896790839878e-10	4.6239271736104e-07
AT1G64890	4.25394306973015	4.25450220503697	7.32314949855617	9.89336549009761e-10	4.6239271736104e-07
AT1G62710	6.94011635136178	6.94754755261908	6.28164261877583	1.04967667543694e-09	4.6239271736104e-07
AT4G32190	4.63755967025141	4.63798091948148	8.11707014783638	1.04994825544243e-09	4.6239271736104e-07
AT5G45820	10.6279075517736	10.7459156726344	6.03851726612904	1.06388039238206e-09	4.6239271736104e-07
AT1G78600	5.35765240063228	5.35857802728353	7.70363499004755	1.07473680847613e-09	4.6239271736104e-07
ATCG00150	6.75796924667728	6.76521360554012	6.13667365619825	1.1574465093648e-09	4.86396707540046e-07
ATCG00720	6.91974835292228	6.92534354719067	6.67010891065347	1.22058900402624e-09	5.01273711426229e-07
AT5G50720	5.4002753379154	5.40279994191696	6.2976900184101	1.30146114552942e-09	5.18522508301881e-07
AT1G71240	4.38424476049093	4.38474842496534	7.60497486835434	1.3199798219085e-09	5.18522508301881e-07
AT5G35970	4.50684745349791	4.50723146839413	8.11953198298418	1.41788856609876e-09	5.19445162670788e-07
AT5G62360	5.18417931558156	5.18442508810328	9.44270234302353	1.42457040247378e-09	5.19445162670788e-07
AT4G34550	8.70026729038591	8.79910192712309	4.35280905124785	1.45778915824597e-09	5.19445162670788e-07
